Version,orderOfOperationsCopy,multiplyComplex,divideComplex,subgroupComplex,multiplyComplexCopy,divideComplexCopy,orderOfOperations,subgroupReal,subgroupRealCopy,subgroupComplexCopy,linearGraphToStandardCopy,solveLinearRational,solveIntegerLinear,linearParOrPerCopy,linearGraphToStandard,linearTwoPoints,solveLinearRationalCopy,solveIntegerLinearCopy,linearParOrPer,linearTwoPointsCopy,solveRationalInequality,describeSet,describeSetCopy,solveRationalInequalityCopy,solveCompoundAND_copy,solveCompoundOR,solveIntegerInequalityCopy,solveCompoundAND,solveCompoundOR_copy,solveIntegerInequality,quadraticEquationToGraph,quadraticGraphToEquationCopy,quadraticFormulaCopy,quadraticGraphToEquation,solveQuadraticFactorCompositesCopy,quadraticEquationToGraphCopy,factorLeadingOver1CompositeCopy,solveQuadraticFactorComposites,quadraticFormula,factorLeadingOver1Composite,solveRadicalLinear,domainRadical,radicalEquationToGraph,solveRadicalQuadratic,radicalGraphToEquationCopy,domainRadicalCopy,solveRadicalQuadraticCopy,radicalGraphToEquation,solveRadicalLinearCopy,radicalEquationToGraphCopy,constructPolyRationals,polyEndBehavior,constructPolyComplex,constructPolyRationalsCopy,constructPolyComplexCopy,polyGraphToFunction,polyZeroBehaviorCopy,polyEndBehaviorCopy,polyGraphToFunctionCopy,polyZeroBehavior,domainRationalCopy,solveRationalQuadraticCopy,rationalEquationToGraphCopy,rationalEquationToGraph,rationalGraphToEquationCopy,solveRationalQuadratic,domainRational,rationalGraphToEquation,solveRationalLinear,solveRationalLinearCopy,domainRangeExp,solveByLogPropertiesCopy,solveExpDifferentBases,solveExpDifferentBasesCopy,solveByConverting,domainRangeExpCopy,domainRangeLog,solveByConvertingCopy,solveByLogProperties,domainRangeLogCopy
A,B,A,C,C,C,E,D,E,E,B,C,D,B,C,D,C,C,D,A,B,B,C,B,C,B,D,A,C,D,B,A,B,A,A,A,D,B,E,D,C,D,C,B,B,E,B,E,E,B,B,D,C,D,D,B,D,A,C,D,D,B,E,A,E,E,E,E,E,B,A,D,B,B,D,A,E,E,D,E,E
B,A,B,C,A,D,D,A,D,A,B,A,A,B,B,E,D,B,C,B,A,C,C,D,A,C,D,A,C,B,B,A,B,B,D,C,B,D,E,C,D,B,C,C,E,E,C,C,E,A,B,A,D,A,D,D,B,C,B,D,A,D,A,C,C,E,B,A,D,E,E,E,C,A,B,D,A,A,B,A,E
C,A,E,B,D,C,B,D,A,A,C,B,B,C,E,B,B,C,D,B,A,A,C,B,A,E,A,C,C,C,D,C,C,A,A,B,D,C,C,B,D,C,E,C,B,A,E,C,E,C,D,A,A,D,B,A,B,A,A,A,C,C,B,E,E,E,C,B,C,A,A,E,E,D,D,D,E,B,B,A,E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
