Version,multiplyComplex,divideComplex,subgroupReal,orderOfOperationsCopy,subgroupRealCopy,orderOfOperations,multiplyComplexCopy,subgroupComplexCopy,divideComplexCopy,subgroupComplex,solveLinearRational,linearParOrPerCopy,linearGraphToStandardCopy,linearTwoPointsCopy,solveIntegerLinearCopy,linearTwoPoints,solveLinearRationalCopy,linearParOrPer,linearGraphToStandard,solveIntegerLinear,describeSetCopy,describeSet,solveCompoundAND,solveCompoundAND_copy,solveCompoundOR_copy,solveRationalInequalityCopy,solveCompoundOR,solveIntegerInequality,solveIntegerInequalityCopy,solveRationalInequality,quadraticEquationToGraphCopy,quadraticFormulaCopy,factorLeadingOver1Composite,solveQuadraticFactorComposites,quadraticFormula,quadraticEquationToGraph,solveQuadraticFactorCompositesCopy,quadraticGraphToEquation,factorLeadingOver1CompositeCopy,quadraticGraphToEquationCopy,radicalGraphToEquationCopy,domainRadicalCopy,solveRadicalQuadraticCopy,radicalEquationToGraph,domainRadical,solveRadicalLinearCopy,radicalGraphToEquation,solveRadicalQuadratic,radicalEquationToGraphCopy,solveRadicalLinear,polyGraphToFunction,constructPolyRationals,polyZeroBehaviorCopy,polyEndBehaviorCopy,polyEndBehavior,constructPolyComplex,constructPolyRationalsCopy,polyGraphToFunctionCopy,constructPolyComplexCopy,polyZeroBehavior,rationalEquationToGraph,solveRationalLinearCopy,rationalEquationToGraphCopy,solveRationalLinear,domainRational,rationalGraphToEquation,domainRationalCopy,rationalGraphToEquationCopy,solveRationalQuadraticCopy,solveRationalQuadratic,solveByLogProperties,domainRangeExpCopy,domainRangeLog,domainRangeExp,solveExpDifferentBases,solveByConverting,solveExpDifferentBasesCopy,domainRangeLogCopy,solveByConvertingCopy,solveByLogPropertiesCopy,domainLinearModel,constructLinearModelMixture,domainLinearModelCopy,constructLinearModelDistanceAndRate,constructLinearModelCostsProfitsRevenue,identifyModelPopulationLinear,constructLinearModelMixtureCopy,constructLinearModelCostsProfitsRevenueCopy,identifyModelPopulationLinearCopy,constructLinearModelDistanceAndRateCopy,identifyModelVariation,constructDirectModel,constructIndirectModel,constructIndirectModelCopy,constructDirectModelCopy,constructJointModel,identifyModelVariationCopy,identifyModelPopulationPower,constructJointModelCopy,identifyModelPopulationPowerCopy,constructBacteriaGrowth,identifyModelGraph11Copy,constructTemperatureModel,constructHalfLifeModelCopy,constructBacteriaGrowthCopy,identifyModelGraph11,identifyModelPopulationLogExpCopy,constructHalfLifeModel,identifyModelPopulationLogExp,constructTemperatureModelCopy,solveModelExp,constructModelMixed,constructModelMixedCopy,solveModelLinear,identifyModelGraph12Copy,solveModelPower,solveModelPowerCopy,identifyModelGraph12,solveModelExpCopy,solveModelLinearCopy,domainAfterOperatingCopy,functionCompositionCopy,functionComposition,findInverseLogOrExpCopy,findInversePolyOrRadical,findInverseLogOrExp,determine1to1Copy,determine1to1,domainAfterOperating,findInversePolyOrRadicalCopy,possibleRootsCopy,possibleRoots,factorUsingSynthetic2Rationals,syntheticDivisionMissingTermsCopy,syntheticDivisionMissingTerms,factorUsingSynthetic2RationalsCopy,factorUsingSynthetic2IntegersCopy,factorUsingSynthetic2Integers,syntheticDivisionCopy,syntheticDivision,evaluateLimitGraphically,evaluateLimitAnalyticalEasy,evaluateLimitGraphicallyCopy,evaluateLimitAnalyticalHardCopy,evaluateLimitAnalyticalHard,evaluateLimitAnalyticalEasyCopy,oneSidedLimits,oneSidedLimitsCopy,interpretLimit,interpretLimitCopy,identifyHAs,identifyHolesCopy,identifyGraphOfRationalFunctionCopy,identifyOAs,identifyGraphOfRationalFunction,identifyHoles,identifyOAsCopy,identifyHAsCopy,identifyVAsCopy,identifyVAs
A,A,A,E,A,C,A,A,A,E,C,B,A,C,D,C,E,D,D,D,B,A,D,B,E,C,B,B,B,A,A,A,A,C,E,C,B,A,D,D,B,C,D,D,B,E,A,B,E,A,E,A,A,B,D,D,D,A,A,C,D,D,C,A,C,C,A,E,C,A,E,A,E,B,A,B,A,D,C,A,C,B,A,D,B,B,A,B,D,C,B,D,B,D,B,A,C,D,D,C,C,E,D,C,D,D,C,D,C,A,E,C,A,C,C,D,A,C,D,B,D,B,D,C,A,E,D,C,B,C,B,C,A,B,D,D,C,D,E,E,D,D,C,A,E,A,C,B,D,C,E,D,B,B,A,B,B,E,E,E,D
B,D,B,B,C,E,D,B,A,D,D,C,E,E,D,D,D,D,D,E,B,D,B,E,E,C,A,A,C,A,D,A,C,C,B,A,A,D,B,A,C,E,B,B,C,B,A,E,A,D,A,C,C,C,D,D,A,D,A,B,A,B,C,A,B,E,E,B,E,B,A,E,D,E,E,C,C,A,D,B,E,A,B,E,B,E,D,C,A,D,C,D,B,D,B,B,C,D,C,D,C,E,C,B,B,C,A,D,D,C,D,A,D,A,B,D,A,B,A,A,D,E,A,B,E,A,A,C,A,C,E,A,A,A,C,D,B,D,E,E,C,D,B,D,E,A,C,B,B,D,E,A,B,A,E,B,E,B,E,E,D
C,B,D,A,A,A,C,C,B,C,D,B,C,C,E,A,C,D,D,E,C,B,E,E,E,D,C,C,D,C,B,D,C,B,D,A,B,B,D,A,D,E,B,E,B,A,C,D,E,D,D,D,B,D,A,D,B,C,D,B,D,D,B,E,C,D,E,D,B,D,E,E,E,D,D,D,D,D,B,C,E,A,B,D,A,B,C,D,E,D,C,D,C,B,B,A,C,D,A,A,D,A,C,C,B,E,D,A,C,B,C,D,E,E,B,C,B,D,C,B,D,A,A,A,C,E,E,E,B,D,E,D,B,D,C,B,E,E,B,E,A,A,B,C,A,C,B,C,D,E,A,D,B,C,D,C,E,A,D,E,C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
