Version,subgroupComplexCopy,subgroupReal,subgroupRealCopy,divideComplex,orderOfOperationsCopy,divideComplexCopy,subgroupComplex,orderOfOperations,multiplyComplexCopy,multiplyComplex,solveIntegerLinear,linearParOrPer,linearParOrPerCopy,linearGraphToStandardCopy,solveLinearRational,linearTwoPointsCopy,linearGraphToStandard,solveIntegerLinearCopy,linearTwoPoints,solveLinearRationalCopy,describeSet,solveIntegerInequality,solveCompoundAND_copy,solveCompoundOR_copy,solveRationalInequalityCopy,solveRationalInequality,solveCompoundOR,describeSetCopy,solveCompoundAND,solveIntegerInequalityCopy,solveQuadraticFactorCompositesCopy,factorLeadingOver1CompositeCopy,quadraticEquationToGraph,factorLeadingOver1Composite,quadraticGraphToEquationCopy,quadraticFormula,quadraticFormulaCopy,solveQuadraticFactorComposites,quadraticGraphToEquation,quadraticEquationToGraphCopy,radicalGraphToEquation,radicalEquationToGraphCopy,domainRadicalCopy,solveRadicalQuadraticCopy,radicalGraphToEquationCopy,solveRadicalLinear,solveRadicalQuadratic,solveRadicalLinearCopy,radicalEquationToGraph,domainRadical,constructPolyComplexCopy,polyEndBehavior,polyEndBehaviorCopy,constructPolyRationalsCopy,polyZeroBehavior,polyGraphToFunction,constructPolyComplex,polyZeroBehaviorCopy,constructPolyRationals,polyGraphToFunctionCopy,domainRational,solveRationalLinearCopy,rationalGraphToEquationCopy,rationalEquationToGraphCopy,domainRationalCopy,solveRationalLinear,rationalEquationToGraph,rationalGraphToEquation,solveRationalQuadratic,solveRationalQuadraticCopy,solveExpDifferentBases,domainRangeExpCopy,solveExpDifferentBasesCopy,solveByConverting,solveByLogPropertiesCopy,domainRangeLog,domainRangeExp,solveByConvertingCopy,domainRangeLogCopy,solveByLogProperties,constructLinearModelDistanceAndRate,constructLinearModelDistanceAndRateCopy,identifyModelPopulationLinear,domainLinearModel,constructLinearModelMixtureCopy,domainLinearModelCopy,constructLinearModelCostsProfitsRevenueCopy,constructLinearModelMixture,identifyModelPopulationLinearCopy,constructLinearModelCostsProfitsRevenue,constructJointModel,identifyModelVariationCopy,constructDirectModel,constructIndirectModelCopy,constructIndirectModel,identifyModelPopulationPower,identifyModelPopulationPowerCopy,constructJointModelCopy,constructDirectModelCopy,identifyModelVariation,identifyModelGraph11Copy,constructTemperatureModelCopy,constructBacteriaGrowth,constructHalfLifeModel,constructBacteriaGrowthCopy,identifyModelGraph11,identifyModelPopulationLogExpCopy,constructTemperatureModel,constructHalfLifeModelCopy,identifyModelPopulationLogExp,identifyModelGraph12,solveModelPowerCopy,solveModelPower,identifyModelGraph12Copy,solveModelExpCopy,solveModelLinear,solveModelLinearCopy,constructModelMixedCopy,constructModelMixed,solveModelExp,determine1to1Copy,determine1to1,findInversePolyOrRadicalCopy,domainAfterOperatingCopy,functionComposition,findInverseLogOrExpCopy,functionCompositionCopy,domainAfterOperating,findInversePolyOrRadical,findInverseLogOrExp,factorUsingSynthetic2Integers,syntheticDivisionMissingTermsCopy,syntheticDivisionCopy,factorUsingSynthetic2Rationals,factorUsingSynthetic2RationalsCopy,syntheticDivision,factorUsingSynthetic2IntegersCopy,possibleRootsCopy,syntheticDivisionMissingTerms,possibleRoots,evaluateLimitGraphicallyCopy,evaluateLimitAnalyticalEasy,evaluateLimitAnalyticalHardCopy,evaluateLimitAnalyticalHard,interpretLimit,evaluateLimitGraphically,evaluateLimitAnalyticalEasyCopy,interpretLimitCopy,oneSidedLimits,oneSidedLimitsCopy,identifyGraphOfRationalFunction,identifyOAsCopy,identifyHolesCopy,identifyHAsCopy,identifyGraphOfRationalFunctionCopy,identifyHAs,identifyVAs,identifyHoles,identifyVAsCopy,identifyOAs
A,B,C,A,C,C,B,E,C,C,A,D,C,C,A,A,A,D,C,E,D,C,B,E,C,A,A,B,E,A,B,A,B,D,A,A,B,D,D,E,C,E,D,A,C,C,B,B,D,A,C,D,D,B,C,C,C,A,D,B,E,D,C,E,D,A,B,E,C,B,D,B,E,A,D,B,A,D,D,D,B,A,B,C,B,C,C,B,D,B,E,D,D,B,D,D,A,B,A,B,D,A,D,D,B,C,A,A,E,D,A,D,B,A,C,C,C,A,D,D,B,C,E,B,E,D,E,C,E,E,E,B,A,C,B,D,C,A,C,C,A,B,B,B,B,E,B,A,A,D,A,B,C,E,C,C,D,B,B,A,C
B,A,E,E,A,A,D,D,C,E,D,D,A,E,A,D,E,A,C,A,A,C,B,E,A,B,B,D,C,C,A,B,D,A,C,D,B,C,B,A,D,E,C,D,C,E,C,C,C,A,A,C,C,D,C,D,E,A,D,D,E,A,C,E,A,D,B,B,C,D,D,D,A,B,B,B,A,E,D,B,E,B,D,D,D,D,A,C,D,B,B,D,D,B,A,D,D,A,A,A,D,B,E,D,D,E,E,A,E,D,C,A,D,A,B,B,D,D,C,E,B,C,B,E,C,D,D,A,E,B,D,A,A,E,E,C,D,C,D,C,C,B,B,E,E,E,B,C,C,E,E,C,E,D,E,D,A,A,C,E,B
C,D,A,D,C,B,E,D,D,C,A,D,A,B,D,C,D,E,A,A,B,A,A,E,D,A,B,B,C,B,A,C,C,C,C,D,C,A,A,E,D,E,C,D,B,D,D,E,C,C,E,A,D,C,A,B,E,B,B,A,D,B,C,E,A,E,A,A,E,B,E,D,E,B,C,E,E,E,B,E,E,C,C,B,C,B,D,A,B,C,A,C,D,B,A,C,A,B,D,D,D,C,E,D,A,E,B,B,B,A,C,D,C,D,D,C,A,D,A,B,A,E,E,E,B,B,A,C,C,E,B,A,E,E,D,C,A,E,D,C,D,A,B,E,D,E,A,C,E,A,C,C,E,E,E,A,B,C,C,E,E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
