Version,subgroupRealCopy,subgroupComplexCopy,subgroupReal,orderOfOperations,subgroupComplex,divideComplexCopy,multiplyComplexCopy,divideComplex,orderOfOperationsCopy,multiplyComplex,linearParOrPerCopy,solveIntegerLinearCopy,solveIntegerLinear,solveLinearRational,linearTwoPointsCopy,linearGraphToStandardCopy,linearGraphToStandard,linearTwoPoints,linearParOrPer,solveLinearRationalCopy,solveCompoundAND,solveCompoundOR,solveCompoundAND_copy,solveCompoundOR_copy,solveRationalInequalityCopy,solveIntegerInequality,describeSetCopy,describeSet,solveRationalInequality,solveIntegerInequalityCopy,quadraticGraphToEquation,quadraticFormulaCopy,factorLeadingOver1Composite,quadraticFormula,solveQuadraticFactorComposites,solveQuadraticFactorCompositesCopy,quadraticEquationToGraphCopy,factorLeadingOver1CompositeCopy,quadraticGraphToEquationCopy,quadraticEquationToGraph,radicalGraphToEquationCopy,domainRadicalCopy,solveRadicalLinear,radicalEquationToGraph,domainRadical,radicalEquationToGraphCopy,solveRadicalQuadratic,solveRadicalQuadraticCopy,solveRadicalLinearCopy,radicalGraphToEquation,constructPolyRationals,constructPolyComplex,constructPolyComplexCopy,constructPolyRationalsCopy,polyZeroBehavior,polyGraphToFunctionCopy,polyZeroBehaviorCopy,polyGraphToFunction,polyEndBehaviorCopy,polyEndBehavior,solveRationalLinear,solveRationalQuadraticCopy,rationalEquationToGraphCopy,domainRationalCopy,rationalGraphToEquation,domainRational,solveRationalQuadratic,solveRationalLinearCopy,rationalGraphToEquationCopy,rationalEquationToGraph,domainRangeLog,domainRangeExpCopy,solveExpDifferentBasesCopy,domainRangeExp,solveByLogPropertiesCopy,domainRangeLogCopy,solveByLogProperties,solveExpDifferentBases,solveByConvertingCopy,solveByConverting,constructLinearModelMixtureCopy,constructLinearModelDistanceAndRateCopy,domainLinearModelCopy,constructLinearModelCostsProfitsRevenueCopy,constructLinearModelMixture,constructLinearModelDistanceAndRate,identifyModelPopulationLinearCopy,constructLinearModelCostsProfitsRevenue,domainLinearModel,identifyModelPopulationLinear,constructIndirectModelCopy,identifyModelVariationCopy,constructIndirectModel,constructJointModel,identifyModelVariation,identifyModelPopulationPower,constructJointModelCopy,constructDirectModel,constructDirectModelCopy,identifyModelPopulationPowerCopy,constructBacteriaGrowth,identifyModelPopulationLogExpCopy,identifyModelGraph11,constructTemperatureModelCopy,identifyModelPopulationLogExp,constructHalfLifeModel,constructHalfLifeModelCopy,constructTemperatureModel,identifyModelGraph11Copy,constructBacteriaGrowthCopy,solveModelPowerCopy,constructModelMixedCopy,identifyModelGraph12,solveModelExp,solveModelLinear,solveModelPower,solveModelLinearCopy,solveModelExpCopy,identifyModelGraph12Copy,constructModelMixed,findInversePolyOrRadicalCopy,domainAfterOperating,domainAfterOperatingCopy,functionComposition,functionCompositionCopy,findInversePolyOrRadical,determine1to1Copy,findInverseLogOrExpCopy,determine1to1,findInverseLogOrExp,syntheticDivisionMissingTermsCopy,possibleRoots,syntheticDivisionMissingTerms,syntheticDivision,possibleRootsCopy,syntheticDivisionCopy,factorUsingSynthetic2RationalsCopy,factorUsingSynthetic2Integers,factorUsingSynthetic2Rationals,factorUsingSynthetic2IntegersCopy,evaluateLimitAnalyticalEasyCopy,evaluateLimitGraphically,oneSidedLimitsCopy,interpretLimit,evaluateLimitGraphicallyCopy,evaluateLimitAnalyticalEasy,oneSidedLimits,interpretLimitCopy,evaluateLimitAnalyticalHardCopy,evaluateLimitAnalyticalHard,identifyVAs,identifyVAsCopy,identifyHAs,identifyGraphOfRationalFunction,identifyOAsCopy,identifyHAsCopy,identifyHoles,identifyGraphOfRationalFunctionCopy,identifyOAs,identifyHolesCopy
A,C,D,A,D,C,C,C,E,A,A,B,A,B,A,A,A,E,C,D,C,C,B,D,C,A,B,B,B,B,A,A,A,A,A,B,A,C,B,E,B,B,E,B,B,B,D,A,E,B,B,C,A,B,A,C,E,B,B,A,B,C,D,D,A,E,E,B,B,E,D,E,C,B,A,E,C,E,A,C,C,D,D,D,E,B,D,D,E,B,D,B,D,A,C,D,B,B,D,B,C,C,A,C,A,B,D,D,E,B,E,A,D,D,D,C,D,B,A,E,B,D,A,B,A,A,E,B,D,D,B,E,A,E,A,A,C,C,D,A,D,A,A,C,A,C,A,C,D,B,E,E,B,D,D,A,B,E,B,E,C
B,D,D,C,A,B,C,C,D,C,B,A,A,A,B,C,A,B,C,B,B,A,A,B,A,B,D,E,C,C,D,D,C,B,D,D,C,C,C,A,C,A,E,A,B,E,C,A,B,C,E,A,C,C,D,D,B,A,A,D,A,B,A,E,A,B,E,A,D,D,D,E,E,D,E,C,C,E,D,B,C,A,D,C,E,A,B,D,C,D,A,A,D,C,B,D,B,A,A,D,A,E,B,C,C,B,A,D,B,C,B,C,D,E,D,A,D,B,D,C,B,E,D,E,C,A,E,B,B,E,A,E,C,C,E,C,E,D,A,B,C,C,B,C,E,B,A,C,A,E,E,D,D,C,D,E,D,A,B,B,C
C,B,C,C,A,E,C,E,D,D,C,E,B,D,C,E,D,C,B,C,C,E,C,E,B,D,A,B,D,B,C,A,B,A,C,C,B,D,A,C,D,C,C,E,A,C,C,E,C,D,C,B,C,D,D,B,B,D,D,D,D,B,E,B,C,B,C,C,A,E,B,E,E,B,B,E,B,E,B,C,B,D,B,A,D,B,D,A,B,E,A,C,D,C,A,D,A,D,D,B,C,B,C,B,E,C,D,B,C,E,E,A,A,D,C,B,C,A,B,B,A,B,B,B,B,B,E,A,D,B,C,B,D,D,C,C,C,B,C,B,D,A,C,A,E,D,C,B,C,E,C,D,E,C,D,E,D,E,D,C,C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
