Version,orderOfOperationsCopy,subgroupRealCopy,subgroupComplexCopy,subgroupReal,divideComplexCopy,divideComplex,orderOfOperations,multiplyComplex,multiplyComplexCopy,subgroupComplex
A,A,A,D,E,A,A,B,A,E,A
B,B,D,A,D,E,A,B,B,E,C
C,C,A,A,D,B,B,D,B,A,D
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
