Version,orderOfOperations,multiplyComplex,subgroupComplex,subgroupRealCopy,subgroupComplexCopy,orderOfOperationsCopy,multiplyComplexCopy,subgroupReal,divideComplexCopy,divideComplex
A,D,B,E,A,B,B,E,B,C,C
B,B,B,B,E,D,C,A,D,A,D
C,D,E,C,C,C,D,C,D,B,B
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
