Version,subgroupComplexCopy,multiplyComplex,multiplyComplexCopy,orderOfOperations,subgroupRealCopy,orderOfOperationsCopy,divideComplex,subgroupReal,divideComplexCopy,subgroupComplex
A,E,A,E,D,D,A,B,D,E,B
B,D,D,A,B,C,C,D,A,B,C
C,C,C,B,C,B,D,B,E,A,A
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
