Version,constructJointModelCopy,identifyModelPopulationPowerCopy,identifyModelVariationCopy,constructIndirectModelCopy,constructJointModel,identifyModelPopulationPower,constructIndirectModel,identifyModelVariation,constructDirectModel,constructDirectModelCopy
A,A,D,D,D,C,D,D,D,C,C
B,C,B,D,D,B,B,C,D,C,C
C,D,B,D,A,A,D,A,D,C,B
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
