Version,linearGraphToStandard,linearTwoPointsCopy,solveIntegerLinearCopy,linearParOrPer,linearGraphToStandardCopy,linearParOrPerCopy,linearTwoPoints,solveLinearRationalCopy,solveLinearRational,solveIntegerLinear
A,E,B,B,A,B,E,E,B,C,A
B,A,B,C,B,D,A,D,A,C,C
C,A,A,B,B,B,E,C,B,D,A
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
