Version,solveRationalQuadratic,domainRational,solveRationalLinear,solveRationalLinearCopy,rationalGraphToEquation,rationalEquationToGraph,domainRationalCopy,solveRationalQuadraticCopy,rationalGraphToEquationCopy,rationalEquationToGraphCopy
A,C,A,A,A,D,D,C,C,B,E
B,D,C,D,E,D,E,D,A,A,A
C,A,D,D,D,B,C,D,C,E,A
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
