Version,solveByConverting,domainRangeExp,solveByLogPropertiesCopy,solveExpDifferentBasesCopy,domainRangeLogCopy,solveByLogProperties,domainRangeLog,solveExpDifferentBases,domainRangeExpCopy,solveByConvertingCopy
A,C,E,C,D,E,C,E,B,E,C
B,A,B,E,A,E,A,E,C,E,D
C,C,B,C,A,B,A,E,C,A,A
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
