Version,identifyModelPopulationLinearCopy,constructLinearModelDistanceAndRateCopy,constructLinearModelCostsProfitsRevenueCopy,domainLinearModelCopy,domainLinearModel,constructLinearModelCostsProfitsRevenue,constructLinearModelDistanceAndRate,constructLinearModelMixture,identifyModelPopulationLinear,constructLinearModelMixtureCopy
A,A,A,E,A,D,B,B,A,D,D
B,B,B,A,D,B,E,A,C,C,C
C,D,C,C,A,E,E,D,C,A,C
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
