Version,orderOfOperations,multiplyComplex,subgroupComplexCopy,subgroupReal,divideComplex,orderOfOperationsCopy,subgroupComplex,subgroupRealCopy,multiplyComplexCopy,divideComplexCopy,linearTwoPoints,linearParOrPer,solveIntegerLinear,solveLinearRationalCopy,linearGraphToStandardCopy,solveLinearRational,linearGraphToStandard,linearTwoPointsCopy,solveIntegerLinearCopy,linearParOrPerCopy
A,D,B,D,D,E,A,D,A,A,C,B,C,D,B,E,A,D,C,D,D
B,C,D,C,E,E,A,A,B,A,A,A,A,D,A,B,A,D,B,B,D
C,D,A,D,E,E,D,B,D,E,E,A,E,B,B,D,B,A,A,A,D
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
