Version,divideComplex,subgroupReal,subgroupComplex,multiplyComplex,multiplyComplexCopy,orderOfOperations,subgroupComplexCopy,orderOfOperationsCopy,subgroupRealCopy,divideComplexCopy,linearGraphToStandard,linearGraphToStandardCopy,linearParOrPerCopy,linearTwoPointsCopy,solveIntegerLinearCopy,linearParOrPer,solveIntegerLinear,solveLinearRational,linearTwoPoints,solveLinearRationalCopy
A,B,D,D,C,B,D,A,D,A,B,A,E,E,B,D,C,A,A,C,A
B,D,E,B,A,B,C,E,B,C,E,E,D,D,E,B,D,D,C,C,A
C,E,D,B,D,A,A,C,B,A,A,C,A,C,A,C,D,C,B,C,B
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
