Version,subgroupComplex,orderOfOperations,multiplyComplex,orderOfOperationsCopy,subgroupComplexCopy,divideComplexCopy,multiplyComplexCopy,subgroupReal,divideComplex,subgroupRealCopy,solveLinearRational,linearGraphToStandardCopy,linearParOrPerCopy,solveIntegerLinearCopy,linearParOrPer,solveLinearRationalCopy,linearTwoPoints,linearGraphToStandard,linearTwoPointsCopy,solveIntegerLinear,solveCompoundAND_copy,solveRationalInequality,solveIntegerInequalityCopy,solveIntegerInequality,describeSetCopy,solveCompoundAND,solveCompoundOR_copy,solveCompoundOR,solveRationalInequalityCopy,describeSet,quadraticFormula,solveQuadraticFactorComposites,quadraticEquationToGraph,quadraticGraphToEquation,factorLeadingOver1CompositeCopy,solveQuadraticFactorCompositesCopy,quadraticGraphToEquationCopy,quadraticFormulaCopy,factorLeadingOver1Composite,quadraticEquationToGraphCopy,radicalEquationToGraph,solveRadicalQuadraticCopy,radicalGraphToEquation,radicalEquationToGraphCopy,domainRadical,solveRadicalLinear,solveRadicalLinearCopy,domainRadicalCopy,radicalGraphToEquationCopy,solveRadicalQuadratic,polyGraphToFunction,polyEndBehavior,constructPolyComplexCopy,polyGraphToFunctionCopy,polyZeroBehaviorCopy,constructPolyRationalsCopy,constructPolyComplex,constructPolyRationals,polyZeroBehavior,polyEndBehaviorCopy,rationalGraphToEquationCopy,solveRationalLinearCopy,domainRational,rationalEquationToGraphCopy,solveRationalQuadratic,rationalGraphToEquation,domainRationalCopy,rationalEquationToGraph,solveRationalQuadraticCopy,solveRationalLinear,solveByLogPropertiesCopy,domainRangeLogCopy,domainRangeExp,solveByLogProperties,solveByConvertingCopy,solveExpDifferentBasesCopy,domainRangeLog,domainRangeExpCopy,solveExpDifferentBases,solveByConverting,domainLinearModel,identifyModelPopulationLinear,constructLinearModelCostsProfitsRevenueCopy,constructLinearModelMixtureCopy,domainLinearModelCopy,identifyModelPopulationLinearCopy,constructLinearModelDistanceAndRate,constructLinearModelDistanceAndRateCopy,constructLinearModelMixture,constructLinearModelCostsProfitsRevenue,identifyModelPopulationPowerCopy,identifyModelVariation,constructJointModelCopy,identifyModelPopulationPower,identifyModelVariationCopy,constructDirectModel,constructJointModel,constructIndirectModelCopy,constructDirectModelCopy,constructIndirectModel,identifyModelPopulationLogExp,constructTemperatureModelCopy,identifyModelGraph11Copy,constructBacteriaGrowthCopy,identifyModelPopulationLogExpCopy,constructHalfLifeModel,constructTemperatureModel,identifyModelGraph11,constructHalfLifeModelCopy,constructBacteriaGrowth,identifyModelGraph12,solveModelPower,solveModelExp,solveModelLinearCopy,identifyModelGraph12Copy,constructModelMixedCopy,solveModelExpCopy,constructModelMixed,solveModelPowerCopy,solveModelLinear,functionCompositionCopy,determine1to1,domainAfterOperatingCopy,findInverseLogOrExp,findInversePolyOrRadicalCopy,functionComposition,domainAfterOperating,findInverseLogOrExpCopy,determine1to1Copy,findInversePolyOrRadical,factorUsingSynthetic2Integers,possibleRootsCopy,factorUsingSynthetic2IntegersCopy,syntheticDivisionMissingTerms,syntheticDivision,syntheticDivisionMissingTermsCopy,factorUsingSynthetic2RationalsCopy,factorUsingSynthetic2Rationals,possibleRoots,syntheticDivisionCopy,evaluateLimitAnalyticalEasy,evaluateLimitAnalyticalHardCopy,interpretLimitCopy,evaluateLimitGraphically,evaluateLimitAnalyticalEasyCopy,oneSidedLimitsCopy,evaluateLimitAnalyticalHard,interpretLimit,oneSidedLimits,evaluateLimitGraphicallyCopy,identifyVAsCopy,identifyVAs,identifyGraphOfRationalFunctionCopy,identifyHoles,identifyOAs,identifyHAsCopy,identifyHolesCopy,identifyOAsCopy,identifyHAs,identifyGraphOfRationalFunction
A,B,D,A,B,E,B,D,A,E,C,C,C,E,B,A,D,D,D,C,A,B,D,A,C,B,E,D,B,B,C,B,B,C,E,D,B,A,A,D,A,A,C,E,A,B,B,C,D,C,C,A,B,C,A,B,B,C,C,C,A,B,E,E,B,C,E,C,E,B,E,E,E,E,E,C,D,E,E,A,C,D,D,E,C,C,C,A,D,D,A,A,D,A,B,D,B,A,D,C,A,B,E,B,C,D,C,B,C,A,E,B,D,C,C,E,E,B,E,A,B,B,A,A,B,C,A,A,C,C,E,C,D,E,B,B,C,B,D,B,E,B,D,E,C,C,C,E,B,E,D,C,A,C,E,A,E,C,A,B,A
B,B,D,B,D,E,C,B,E,B,E,A,B,B,B,E,D,D,E,D,D,A,C,D,A,A,B,A,C,D,B,C,C,B,D,C,B,B,B,C,A,C,A,D,C,D,C,B,A,C,D,B,C,B,C,D,B,D,C,C,B,A,E,A,D,D,B,D,E,A,D,A,E,C,E,C,A,D,E,C,C,A,A,E,A,E,B,C,D,C,E,B,D,C,A,D,B,C,B,B,C,A,E,D,E,D,C,A,B,D,B,E,A,A,B,D,E,B,E,C,A,A,D,C,D,E,B,E,C,B,C,B,B,B,A,B,E,A,A,A,B,C,A,D,D,B,E,E,A,C,C,C,C,C,C,B,B,C,A,D,C
C,D,D,E,A,E,E,A,C,D,B,D,C,C,C,D,D,D,A,A,D,E,C,C,B,C,E,D,D,A,D,D,A,C,A,D,D,D,A,A,B,B,C,C,B,B,D,A,B,A,E,B,D,D,D,B,E,A,E,B,B,C,D,A,D,D,D,C,E,C,A,B,E,E,C,D,C,A,E,B,A,D,A,D,C,A,C,D,D,A,E,C,D,D,C,D,A,D,B,D,D,B,D,A,E,A,D,E,E,C,E,A,C,D,A,B,C,B,D,A,D,B,A,E,A,E,A,E,C,A,D,D,D,D,B,B,A,B,A,A,B,A,B,E,C,B,B,C,A,A,A,A,B,B,B,D,A,E,B,B,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
