Version,subgroupComplex,orderOfOperationsCopy,subgroupRealCopy,multiplyComplexCopy,subgroupComplexCopy,multiplyComplex,subgroupReal,divideComplexCopy,orderOfOperations,divideComplex,linearTwoPoints,linearParOrPerCopy,linearParOrPer,linearTwoPointsCopy,linearGraphToStandardCopy,solveIntegerLinearCopy,solveLinearRationalCopy,solveLinearRational,linearGraphToStandard,solveIntegerLinear,describeSetCopy,solveIntegerInequality,solveCompoundOR,solveCompoundAND_copy,solveCompoundOR_copy,describeSet,solveCompoundAND,solveRationalInequality,solveRationalInequalityCopy,solveIntegerInequalityCopy,quadraticGraphToEquation,quadraticEquationToGraphCopy,quadraticEquationToGraph,factorLeadingOver1Composite,factorLeadingOver1CompositeCopy,quadraticGraphToEquationCopy,quadraticFormula,solveQuadraticFactorComposites,solveQuadraticFactorCompositesCopy,quadraticFormulaCopy,solveRadicalQuadratic,solveRadicalQuadraticCopy,radicalEquationToGraphCopy,domainRadicalCopy,radicalEquationToGraph,radicalGraphToEquation,solveRadicalLinearCopy,solveRadicalLinear,domainRadical,radicalGraphToEquationCopy,polyEndBehavior,constructPolyComplex,polyZeroBehaviorCopy,constructPolyRationals,polyGraphToFunction,polyZeroBehavior,polyEndBehaviorCopy,constructPolyComplexCopy,polyGraphToFunctionCopy,constructPolyRationalsCopy,domainRationalCopy,rationalGraphToEquation,solveRationalQuadraticCopy,solveRationalLinear,rationalEquationToGraph,solveRationalLinearCopy,domainRational,rationalEquationToGraphCopy,rationalGraphToEquationCopy,solveRationalQuadratic,domainRangeLog,solveByLogProperties,domainRangeExpCopy,solveExpDifferentBasesCopy,domainRangeLogCopy,solveByLogPropertiesCopy,solveByConverting,solveExpDifferentBases,solveByConvertingCopy,domainRangeExp,identifyModelPopulationLinear,constructLinearModelDistanceAndRateCopy,constructLinearModelMixtureCopy,domainLinearModel,domainLinearModelCopy,constructLinearModelDistanceAndRate,constructLinearModelMixture,constructLinearModelCostsProfitsRevenueCopy,constructLinearModelCostsProfitsRevenue,identifyModelPopulationLinearCopy,constructDirectModelCopy,constructDirectModel,identifyModelVariation,identifyModelPopulationPowerCopy,identifyModelPopulationPower,identifyModelVariationCopy,constructIndirectModelCopy,constructJointModel,constructJointModelCopy,constructIndirectModel,constructBacteriaGrowthCopy,identifyModelGraph11Copy,identifyModelPopulationLogExp,identifyModelGraph11,identifyModelPopulationLogExpCopy,constructHalfLifeModel,constructTemperatureModel,constructBacteriaGrowth,constructTemperatureModelCopy,constructHalfLifeModelCopy,identifyModelGraph12,solveModelLinearCopy,identifyModelGraph12Copy,solveModelExp,solveModelPower,constructModelMixedCopy,solveModelLinear,solveModelExpCopy,constructModelMixed,solveModelPowerCopy,functionCompositionCopy,determine1to1Copy,determine1to1,domainAfterOperatingCopy,findInverseLogOrExpCopy,functionComposition,findInverseLogOrExp,findInversePolyOrRadicalCopy,findInversePolyOrRadical,domainAfterOperating,syntheticDivision,possibleRootsCopy,factorUsingSynthetic2Rationals,syntheticDivisionCopy,syntheticDivisionMissingTerms,possibleRoots,syntheticDivisionMissingTermsCopy,factorUsingSynthetic2Integers,factorUsingSynthetic2IntegersCopy,factorUsingSynthetic2RationalsCopy,evaluateLimitAnalyticalEasyCopy,oneSidedLimitsCopy,evaluateLimitAnalyticalEasy,evaluateLimitGraphicallyCopy,evaluateLimitAnalyticalHardCopy,evaluateLimitGraphically,interpretLimit,evaluateLimitAnalyticalHard,interpretLimitCopy,oneSidedLimits,identifyVAs,identifyOAsCopy,identifyGraphOfRationalFunction,identifyHoles,identifyHAsCopy,identifyGraphOfRationalFunctionCopy,identifyOAs,identifyVAsCopy,identifyHAs,identifyHolesCopy
A,C,C,C,E,A,D,C,B,A,C,E,C,B,A,D,A,D,C,A,A,A,A,A,E,D,D,E,B,C,D,A,A,C,A,D,D,A,D,B,D,A,A,B,E,C,C,D,B,B,E,B,D,D,D,B,B,B,C,D,A,E,B,A,E,D,B,E,E,A,B,E,A,D,D,B,A,B,A,A,E,C,B,A,E,D,D,A,E,E,B,B,C,D,D,C,D,C,B,A,A,D,C,C,E,B,D,D,E,B,B,A,D,D,C,D,D,C,D,D,B,A,C,A,C,D,C,C,E,D,D,A,B,E,C,A,C,A,E,E,C,C,D,A,D,E,D,A,E,C,C,A,E,B,C,B,C,E,D,D,C
B,E,C,C,D,D,B,B,D,A,D,D,A,B,A,B,C,C,D,C,B,A,C,B,B,D,E,E,A,A,D,A,A,B,D,A,B,B,A,E,D,A,E,C,A,C,C,D,A,E,B,A,C,C,D,C,C,D,B,C,D,C,E,D,C,B,D,D,D,E,E,E,A,B,D,E,E,A,B,A,A,A,D,A,D,A,A,B,E,E,D,B,D,D,B,D,D,D,C,C,B,E,E,B,D,C,C,E,E,E,D,A,B,E,A,C,B,A,C,D,C,A,E,D,A,B,A,E,E,B,B,A,B,C,E,E,D,B,B,D,C,C,B,A,D,E,D,E,B,E,B,B,E,D,D,C,B,D,E,E,A
C,E,C,D,D,B,C,D,D,C,D,E,A,E,B,A,C,A,D,A,A,B,B,D,D,C,C,B,C,B,C,A,B,A,C,D,E,C,E,D,B,A,A,B,D,D,E,D,C,E,D,D,C,D,B,A,B,A,C,A,B,D,E,C,B,E,D,E,B,E,C,E,E,A,A,C,A,C,C,C,D,D,C,D,A,D,A,B,E,E,D,D,C,D,A,B,D,B,C,D,D,E,E,D,E,C,C,E,A,E,B,E,D,B,A,B,E,A,C,A,D,A,E,C,D,A,A,B,E,E,E,E,B,D,E,C,A,A,D,A,E,C,E,A,A,D,B,D,D,D,D,C,E,D,B,C,D,A,D,D,E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
