Version,subgroupReal,orderOfOperationsCopy,multiplyComplexCopy,multiplyComplex,subgroupComplexCopy,subgroupComplex,subgroupRealCopy,orderOfOperations,divideComplex,divideComplexCopy,linearParOrPer,solveIntegerLinearCopy,solveIntegerLinear,linearGraphToStandardCopy,solveLinearRationalCopy,linearParOrPerCopy,solveLinearRational,linearTwoPoints,linearGraphToStandard,linearTwoPointsCopy,describeSet,solveIntegerInequality,solveCompoundAND_copy,solveCompoundAND,solveRationalInequalityCopy,solveCompoundOR_copy,solveRationalInequality,solveCompoundOR,describeSetCopy,solveIntegerInequalityCopy,quadraticFormula,factorLeadingOver1CompositeCopy,quadraticEquationToGraphCopy,quadraticEquationToGraph,quadraticFormulaCopy,quadraticGraphToEquation,solveQuadraticFactorCompositesCopy,factorLeadingOver1Composite,quadraticGraphToEquationCopy,solveQuadraticFactorComposites
A,A,D,D,E,E,B,D,B,E,A,C,D,B,C,C,C,C,A,B,C,E,C,C,E,A,B,C,C,E,D,A,D,C,C,A,E,B,A,E,C
B,B,C,E,C,D,E,E,D,A,C,C,B,B,E,B,B,C,D,A,D,D,A,D,C,A,B,C,B,A,B,B,B,B,D,A,D,C,D,C,B
C,B,A,A,E,D,A,A,A,A,E,E,C,C,C,C,E,C,D,A,B,A,B,E,E,B,D,A,C,A,C,C,B,C,C,B,B,C,D,B,D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
