Version,multiplyComplex,orderOfOperations,subgroupComplexCopy,subgroupReal,orderOfOperationsCopy,subgroupRealCopy,divideComplex,divideComplexCopy,multiplyComplexCopy,subgroupComplex,solveLinearRational,solveIntegerLinear,linearTwoPoints,linearGraphToStandardCopy,linearParOrPer,solveIntegerLinearCopy,linearParOrPerCopy,linearGraphToStandard,solveLinearRationalCopy,linearTwoPointsCopy,solveCompoundAND_copy,solveRationalInequalityCopy,solveRationalInequality,describeSetCopy,solveCompoundOR_copy,describeSet,solveCompoundAND,solveIntegerInequalityCopy,solveIntegerInequality,solveCompoundOR,factorLeadingOver1Composite,quadraticGraphToEquation,factorLeadingOver1CompositeCopy,quadraticGraphToEquationCopy,quadraticFormulaCopy,quadraticEquationToGraphCopy,quadraticFormula,solveQuadraticFactorCompositesCopy,solveQuadraticFactorComposites,quadraticEquationToGraph,radicalGraphToEquation,radicalEquationToGraphCopy,radicalEquationToGraph,solveRadicalQuadraticCopy,solveRadicalLinearCopy,radicalGraphToEquationCopy,solveRadicalQuadratic,solveRadicalLinear,domainRadicalCopy,domainRadical,constructPolyRationalsCopy,polyZeroBehavior,constructPolyComplex,polyGraphToFunctionCopy,polyZeroBehaviorCopy,polyGraphToFunction,constructPolyComplexCopy,polyEndBehaviorCopy,polyEndBehavior,constructPolyRationals,rationalEquationToGraph,rationalGraphToEquationCopy,rationalGraphToEquation,solveRationalLinear,solveRationalQuadraticCopy,domainRational,solveRationalLinearCopy,solveRationalQuadratic,rationalEquationToGraphCopy,domainRationalCopy,solveByConverting,solveByLogProperties,domainRangeLogCopy,domainRangeExpCopy,solveByLogPropertiesCopy,domainRangeExp,solveExpDifferentBasesCopy,domainRangeLog,solveExpDifferentBases,solveByConvertingCopy,identifyModelPopulationLinear,constructLinearModelDistanceAndRateCopy,constructLinearModelMixture,domainLinearModelCopy,identifyModelPopulationLinearCopy,constructLinearModelDistanceAndRate,constructLinearModelMixtureCopy,domainLinearModel,constructLinearModelCostsProfitsRevenue,constructLinearModelCostsProfitsRevenueCopy,constructIndirectModel,identifyModelVariationCopy,constructDirectModelCopy,constructJointModelCopy,constructIndirectModelCopy,constructJointModel,constructDirectModel,identifyModelVariation,identifyModelPopulationPower,identifyModelPopulationPowerCopy,determine1to1Copy,findInverseLogOrExp,domainAfterOperating,findInversePolyOrRadicalCopy,findInverseLogOrExpCopy,determine1to1,findInversePolyOrRadical,domainAfterOperatingCopy,functionCompositionCopy,functionComposition,factorUsingSynthetic2RationalsCopy,syntheticDivision,factorUsingSynthetic2Integers,possibleRootsCopy,factorUsingSynthetic2IntegersCopy,syntheticDivisionMissingTerms,factorUsingSynthetic2Rationals,possibleRoots,syntheticDivisionCopy,syntheticDivisionMissingTermsCopy
A,C,A,D,C,D,C,B,C,B,C,A,D,B,C,A,A,B,B,D,A,E,B,B,D,C,D,A,B,C,B,C,D,A,A,D,B,B,A,A,B,C,B,D,A,D,A,E,A,D,A,A,B,D,B,B,C,A,D,D,B,E,E,E,E,A,E,A,D,C,E,C,E,E,D,E,E,C,E,A,C,A,A,B,E,B,C,A,A,E,D,C,D,B,D,C,C,C,D,D,B,B,D,A,E,D,A,E,A,A,C,C,C,E,D,A,D,E,D,C,B
B,B,C,D,A,B,E,B,D,B,D,D,B,E,A,C,C,D,A,B,D,A,A,C,C,C,C,E,A,D,D,D,D,A,A,C,C,A,D,E,B,E,A,A,A,E,D,B,B,E,A,A,B,D,B,C,E,D,C,A,C,C,A,A,C,C,E,D,E,D,B,C,B,E,E,E,E,C,C,D,A,C,C,C,A,A,A,C,D,E,D,C,D,B,D,A,D,A,D,B,A,A,E,A,C,E,A,A,B,D,D,C,A,E,A,E,C,C,A,C,A
C,B,C,B,E,B,A,C,A,E,A,B,A,E,E,E,C,A,C,C,D,E,C,A,C,D,C,D,B,B,C,B,B,A,A,A,B,B,D,D,A,D,A,A,D,C,A,D,B,E,B,C,D,A,B,D,B,A,A,C,C,D,B,E,C,B,C,B,C,B,B,A,E,E,A,A,E,D,C,C,B,B,D,D,E,B,D,B,B,B,E,B,D,C,D,C,C,A,D,B,D,C,B,E,C,E,A,E,E,A,B,A,B,A,B,C,A,A,A,A,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
