Version,multiplyComplex,subgroupComplex,divideComplexCopy,subgroupRealCopy,divideComplex,orderOfOperationsCopy,subgroupReal,orderOfOperations,subgroupComplexCopy,multiplyComplexCopy,linearTwoPointsCopy,linearGraphToStandardCopy,linearTwoPoints,solveIntegerLinear,solveIntegerLinearCopy,solveLinearRational,linearParOrPer,linearParOrPerCopy,solveLinearRationalCopy,linearGraphToStandard,solveCompoundOR,describeSetCopy,solveIntegerInequalityCopy,describeSet,solveRationalInequalityCopy,solveCompoundOR_copy,solveRationalInequality,solveIntegerInequality,solveCompoundAND_copy,solveCompoundAND,factorLeadingOver1CompositeCopy,quadraticFormula,quadraticGraphToEquation,quadraticEquationToGraph,quadraticGraphToEquationCopy,quadraticEquationToGraphCopy,factorLeadingOver1Composite,solveQuadraticFactorComposites,quadraticFormulaCopy,solveQuadraticFactorCompositesCopy,solveRadicalQuadratic,radicalGraphToEquation,solveRadicalQuadraticCopy,solveRadicalLinearCopy,domainRadicalCopy,domainRadical,radicalEquationToGraph,solveRadicalLinear,radicalEquationToGraphCopy,radicalGraphToEquationCopy,polyEndBehaviorCopy,constructPolyRationalsCopy,constructPolyComplexCopy,polyEndBehavior,polyGraphToFunctionCopy,polyGraphToFunction,constructPolyRationals,polyZeroBehaviorCopy,constructPolyComplex,polyZeroBehavior,rationalEquationToGraph,rationalGraphToEquation,solveRationalLinear,domainRational,solveRationalQuadratic,rationalGraphToEquationCopy,rationalEquationToGraphCopy,solveRationalLinearCopy,solveRationalQuadraticCopy,domainRationalCopy,solveExpDifferentBases,solveExpDifferentBasesCopy,domainRangeExpCopy,domainRangeExp,domainRangeLogCopy,solveByLogProperties,domainRangeLog,solveByConvertingCopy,solveByConverting,solveByLogPropertiesCopy
A,D,D,C,C,D,B,E,D,E,D,A,C,E,B,B,C,C,E,B,B,C,E,B,A,D,D,C,A,E,C,B,B,C,A,C,A,C,D,B,B,C,E,B,D,A,B,D,E,D,B,A,D,B,A,C,A,D,B,B,B,E,E,E,B,B,E,A,E,C,B,D,C,E,E,C,A,A,C,B,C
B,C,A,E,B,E,D,C,B,C,D,B,A,D,D,C,B,C,B,A,A,C,E,A,D,D,A,C,A,C,E,D,D,E,D,A,A,D,A,D,B,D,E,E,E,D,C,A,D,D,E,D,C,B,A,C,E,A,C,C,C,A,E,E,B,A,E,D,E,E,A,A,D,E,A,D,B,B,C,A,E
C,E,B,D,C,E,A,D,B,A,D,E,B,A,D,A,C,E,E,B,E,D,E,A,B,A,A,B,C,C,B,C,D,A,A,A,A,A,A,D,C,E,D,A,E,B,E,B,E,A,E,A,D,B,D,B,C,C,D,B,C,C,B,B,A,D,A,A,C,E,A,A,A,E,E,E,E,E,C,D,C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
