Version,subgroupComplex,subgroupComplexCopy,orderOfOperationsCopy,orderOfOperations,multiplyComplex,subgroupRealCopy,divideComplexCopy,subgroupReal,divideComplex,multiplyComplexCopy,linearParOrPer,linearTwoPoints,linearParOrPerCopy,linearGraphToStandardCopy,linearGraphToStandard,solveIntegerLinear,solveLinearRational,solveIntegerLinearCopy,solveLinearRationalCopy,linearTwoPointsCopy,solveCompoundAND_copy,solveRationalInequalityCopy,solveCompoundOR_copy,solveIntegerInequality,describeSetCopy,solveRationalInequality,describeSet,solveCompoundAND,solveCompoundOR,solveIntegerInequalityCopy,solveQuadraticFactorCompositesCopy,quadraticFormula,quadraticGraphToEquation,quadraticEquationToGraphCopy,quadraticGraphToEquationCopy,quadraticFormulaCopy,factorLeadingOver1Composite,solveQuadraticFactorComposites,factorLeadingOver1CompositeCopy,quadraticEquationToGraph,solveRadicalQuadratic,solveRadicalQuadraticCopy,radicalEquationToGraph,domainRadical,radicalGraphToEquationCopy,domainRadicalCopy,radicalGraphToEquation,radicalEquationToGraphCopy,solveRadicalLinear,solveRadicalLinearCopy,polyGraphToFunctionCopy,polyEndBehaviorCopy,constructPolyRationals,polyZeroBehavior,polyEndBehavior,constructPolyComplexCopy,polyGraphToFunction,constructPolyComplex,polyZeroBehaviorCopy,constructPolyRationalsCopy,domainRationalCopy,rationalGraphToEquationCopy,solveRationalLinear,domainRational,rationalEquationToGraphCopy,solveRationalLinearCopy,solveRationalQuadraticCopy,rationalGraphToEquation,rationalEquationToGraph,solveRationalQuadratic,domainRangeLogCopy,solveExpDifferentBases,domainRangeExpCopy,solveByConvertingCopy,domainRangeExp,solveByLogPropertiesCopy,solveByConverting,domainRangeLog,solveExpDifferentBasesCopy,solveByLogProperties,domainLinearModel,identifyModelPopulationLinearCopy,constructLinearModelCostsProfitsRevenueCopy,constructLinearModelDistanceAndRate,identifyModelPopulationLinear,constructLinearModelCostsProfitsRevenue,constructLinearModelMixture,constructLinearModelDistanceAndRateCopy,constructLinearModelMixtureCopy,domainLinearModelCopy,constructJointModelCopy,constructIndirectModel,constructJointModel,constructDirectModelCopy,identifyModelPopulationPowerCopy,identifyModelVariationCopy,identifyModelPopulationPower,constructIndirectModelCopy,identifyModelVariation,constructDirectModel,functionCompositionCopy,findInversePolyOrRadical,findInversePolyOrRadicalCopy,functionComposition,determine1to1Copy,findInverseLogOrExp,findInverseLogOrExpCopy,domainAfterOperatingCopy,determine1to1,domainAfterOperating,factorUsingSynthetic2Integers,syntheticDivision,possibleRootsCopy,factorUsingSynthetic2IntegersCopy,syntheticDivisionMissingTermsCopy,syntheticDivisionCopy,possibleRoots,factorUsingSynthetic2RationalsCopy,factorUsingSynthetic2Rationals,syntheticDivisionMissingTerms
A,E,A,D,C,A,B,C,B,D,E,D,D,C,D,C,B,B,A,D,B,E,D,B,C,A,A,D,E,B,C,E,B,C,A,A,B,C,D,C,D,D,A,C,B,E,B,E,D,C,C,B,A,C,A,A,B,C,C,A,C,D,E,A,C,E,A,B,D,C,E,E,D,B,B,C,B,A,E,C,C,D,B,E,D,B,D,B,A,B,B,A,D,A,A,D,D,A,B,D,C,B,E,C,B,D,E,A,C,A,E,B,E,B,D,C,E,B,A,E,C
B,C,E,B,D,B,D,C,A,E,C,B,B,A,A,E,A,A,C,A,D,E,C,D,C,A,D,C,A,B,C,E,C,A,D,D,D,D,C,A,A,A,E,A,A,C,C,E,D,E,B,A,B,C,C,B,C,E,B,D,D,D,B,D,D,D,B,C,E,B,D,E,D,D,D,E,E,C,E,C,E,A,A,D,B,D,A,D,D,C,C,A,C,B,B,C,D,C,B,D,D,B,E,D,B,A,D,B,C,E,A,B,E,C,A,D,E,C,C,E,A
C,E,E,A,A,B,C,A,A,E,B,E,B,C,C,B,A,D,B,D,D,C,A,B,A,C,C,C,E,C,D,B,C,A,D,C,A,A,D,C,B,D,E,A,A,D,D,B,C,A,D,C,A,C,C,D,C,B,A,C,A,C,E,A,B,E,D,A,C,B,A,E,C,B,B,C,E,D,B,B,E,D,D,D,C,B,A,A,A,D,A,C,C,A,C,C,D,B,A,D,B,B,A,E,C,E,A,B,E,A,E,D,D,B,E,E,B,C,D,B,C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
