Version,multiplyComplexCopy,subgroupReal,multiplyComplex,divideComplex,divideComplexCopy,subgroupComplexCopy,orderOfOperationsCopy,subgroupRealCopy,subgroupComplex,orderOfOperations,solveIntegerLinear,linearGraphToStandardCopy,solveIntegerLinearCopy,solveLinearRational,linearTwoPoints,linearParOrPerCopy,solveLinearRationalCopy,linearTwoPointsCopy,linearGraphToStandard,linearParOrPer,solveRationalInequalityCopy,describeSetCopy,solveCompoundOR,solveCompoundAND_copy,solveIntegerInequalityCopy,solveCompoundOR_copy,solveCompoundAND,describeSet,solveRationalInequality,solveIntegerInequality,quadraticFormulaCopy,solveQuadraticFactorComposites,quadraticGraphToEquationCopy,factorLeadingOver1CompositeCopy,solveQuadraticFactorCompositesCopy,quadraticFormula,factorLeadingOver1Composite,quadraticEquationToGraphCopy,quadraticGraphToEquation,quadraticEquationToGraph,solveRadicalLinearCopy,radicalEquationToGraphCopy,radicalGraphToEquation,solveRadicalQuadraticCopy,solveRadicalLinear,domainRadicalCopy,radicalEquationToGraph,radicalGraphToEquationCopy,solveRadicalQuadratic,domainRadical,constructPolyComplex,constructPolyRationals,polyEndBehavior,polyGraphToFunctionCopy,constructPolyRationalsCopy,polyGraphToFunction,polyZeroBehavior,polyZeroBehaviorCopy,constructPolyComplexCopy,polyEndBehaviorCopy,solveRationalLinearCopy,rationalGraphToEquation,rationalGraphToEquationCopy,rationalEquationToGraphCopy,solveRationalQuadraticCopy,solveRationalQuadratic,domainRationalCopy,domainRational,rationalEquationToGraph,solveRationalLinear,solveExpDifferentBases,solveByConverting,domainRangeLogCopy,solveExpDifferentBasesCopy,domainRangeLog,domainRangeExp,solveByConvertingCopy,domainRangeExpCopy,solveByLogPropertiesCopy,solveByLogProperties,constructLinearModelDistanceAndRate,constructLinearModelCostsProfitsRevenueCopy,identifyModelPopulationLinear,domainLinearModelCopy,constructLinearModelMixture,constructLinearModelDistanceAndRateCopy,identifyModelPopulationLinearCopy,domainLinearModel,constructLinearModelCostsProfitsRevenue,constructLinearModelMixtureCopy,constructJointModel,constructDirectModel,constructJointModelCopy,constructIndirectModel,constructIndirectModelCopy,constructDirectModelCopy,identifyModelPopulationPower,identifyModelVariation,identifyModelVariationCopy,identifyModelPopulationPowerCopy,constructBacteriaGrowth,constructHalfLifeModel,identifyModelPopulationLogExp,constructBacteriaGrowthCopy,constructTemperatureModel,identifyModelGraph11Copy,constructHalfLifeModelCopy,constructTemperatureModelCopy,identifyModelGraph11,identifyModelPopulationLogExpCopy,solveModelPowerCopy,solveModelLinearCopy,solveModelExpCopy,identifyModelGraph12,constructModelMixedCopy,solveModelPower,solveModelLinear,solveModelExp,identifyModelGraph12Copy,constructModelMixed,findInverseLogOrExpCopy,domainAfterOperating,findInversePolyOrRadicalCopy,determine1to1,domainAfterOperatingCopy,findInverseLogOrExp,functionComposition,findInversePolyOrRadical,functionCompositionCopy,determine1to1Copy,syntheticDivisionMissingTerms,factorUsingSynthetic2IntegersCopy,factorUsingSynthetic2Integers,syntheticDivisionMissingTermsCopy,syntheticDivision,factorUsingSynthetic2RationalsCopy,factorUsingSynthetic2Rationals,syntheticDivisionCopy,possibleRoots,possibleRootsCopy,evaluateLimitGraphicallyCopy,evaluateLimitAnalyticalEasyCopy,evaluateLimitAnalyticalHardCopy,interpretLimit,evaluateLimitGraphically,evaluateLimitAnalyticalHard,evaluateLimitAnalyticalEasy,oneSidedLimits,oneSidedLimitsCopy,interpretLimitCopy,identifyVAsCopy,identifyHoles,identifyVAs,identifyHolesCopy,identifyOAsCopy,identifyHAs,identifyGraphOfRationalFunctionCopy,identifyHAsCopy,identifyGraphOfRationalFunction,identifyOAs
A,B,C,E,D,A,A,C,C,A,B,B,B,B,A,E,A,B,B,E,E,B,D,C,A,C,B,B,A,B,D,C,D,A,A,B,C,C,C,A,B,A,D,C,E,D,B,A,E,D,C,A,D,A,B,A,A,B,B,C,C,E,D,A,E,E,E,E,E,E,E,A,A,B,A,C,C,C,E,C,A,C,E,C,E,D,A,A,E,E,B,C,D,D,D,C,C,C,D,D,D,E,D,D,D,D,D,A,E,C,C,D,D,B,B,C,C,C,D,E,D,E,B,D,A,B,C,A,E,C,D,C,D,C,E,E,C,E,B,B,A,A,C,E,A,D,C,C,D,C,E,A,A,D,C,C,E,C,A,A,E
B,A,C,E,D,B,E,D,E,B,D,D,E,C,A,D,E,C,E,A,E,D,C,A,E,A,A,E,E,B,D,D,B,C,A,D,D,D,A,E,C,A,C,B,D,D,A,B,E,B,D,A,E,C,C,C,C,B,A,D,D,A,C,E,B,A,B,B,B,E,D,C,D,A,D,E,E,A,B,C,E,D,E,D,C,B,D,D,C,C,A,B,A,D,A,C,C,A,D,D,B,E,D,A,D,E,C,B,E,C,A,D,B,B,A,C,D,C,D,B,B,A,D,A,E,A,B,D,A,C,C,B,A,E,E,A,A,E,E,A,B,D,B,A,E,A,E,C,A,B,A,C,D,A,E,B,C,C,B,D,D
C,C,C,C,B,B,E,C,A,D,A,A,E,D,B,A,B,B,E,B,B,B,D,D,D,C,C,A,C,C,B,B,D,B,D,E,B,A,C,A,B,D,C,B,A,B,B,B,E,E,B,B,B,A,E,C,C,A,A,B,D,D,A,D,E,A,A,E,B,A,A,A,C,B,A,E,E,A,A,E,B,D,E,D,B,C,C,A,B,B,A,C,A,C,A,B,B,B,D,D,A,E,A,A,B,C,C,B,C,C,C,A,D,A,E,D,B,D,A,B,C,E,B,D,B,D,B,D,A,B,A,E,C,C,C,C,C,B,A,C,C,D,C,E,D,C,D,A,E,B,E,E,B,C,E,A,D,C,C,C,D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
