Version,subgroupRealCopy,multiplyComplexCopy,orderOfOperations,subgroupComplex,multiplyComplex,orderOfOperationsCopy,divideComplexCopy,subgroupComplexCopy,divideComplex,subgroupReal,linearTwoPointsCopy,solveLinearRationalCopy,linearGraphToStandard,solveIntegerLinearCopy,linearParOrPer,linearGraphToStandardCopy,linearParOrPerCopy,solveIntegerLinear,linearTwoPoints,solveLinearRational,solveCompoundAND_copy,describeSetCopy,describeSet,solveRationalInequalityCopy,solveIntegerInequality,solveIntegerInequalityCopy,solveCompoundOR,solveRationalInequality,solveCompoundOR_copy,solveCompoundAND,quadraticEquationToGraphCopy,factorLeadingOver1Composite,factorLeadingOver1CompositeCopy,quadraticEquationToGraph,quadraticFormula,quadraticFormulaCopy,solveQuadraticFactorComposites,solveQuadraticFactorCompositesCopy,quadraticGraphToEquation,quadraticGraphToEquationCopy,solveRadicalLinear,domainRadicalCopy,solveRadicalQuadraticCopy,radicalEquationToGraph,solveRadicalQuadratic,radicalGraphToEquationCopy,radicalEquationToGraphCopy,radicalGraphToEquation,domainRadical,solveRadicalLinearCopy,constructPolyComplexCopy,polyGraphToFunction,polyGraphToFunctionCopy,polyZeroBehaviorCopy,constructPolyComplex,constructPolyRationalsCopy,polyEndBehavior,constructPolyRationals,polyZeroBehavior,polyEndBehaviorCopy,rationalEquationToGraph,rationalGraphToEquation,solveRationalQuadratic,solveRationalLinearCopy,rationalGraphToEquationCopy,solveRationalLinear,rationalEquationToGraphCopy,domainRational,domainRationalCopy,solveRationalQuadraticCopy,domainRangeLog,domainRangeExp,domainRangeLogCopy,solveByLogProperties,solveExpDifferentBasesCopy,solveExpDifferentBases,domainRangeExpCopy,solveByConvertingCopy,solveByConverting,solveByLogPropertiesCopy,constructLinearModelCostsProfitsRevenue,constructLinearModelDistanceAndRateCopy,constructLinearModelMixture,constructLinearModelMixtureCopy,identifyModelPopulationLinearCopy,constructLinearModelCostsProfitsRevenueCopy,domainLinearModel,constructLinearModelDistanceAndRate,identifyModelPopulationLinear,domainLinearModelCopy,identifyModelPopulationPower,constructIndirectModel,constructJointModelCopy,identifyModelPopulationPowerCopy,constructIndirectModelCopy,constructDirectModelCopy,constructDirectModel,identifyModelVariationCopy,constructJointModel,identifyModelVariation,identifyModelGraph11,identifyModelPopulationLogExpCopy,constructBacteriaGrowthCopy,identifyModelGraph11Copy,identifyModelPopulationLogExp,constructTemperatureModel,constructHalfLifeModelCopy,constructBacteriaGrowth,constructHalfLifeModel,constructTemperatureModelCopy,solveModelPowerCopy,solveModelPower,solveModelExp,identifyModelGraph12Copy,identifyModelGraph12,constructModelMixed,solveModelLinearCopy,solveModelExpCopy,solveModelLinear,constructModelMixedCopy,functionCompositionCopy,functionComposition,determine1to1,findInverseLogOrExpCopy,findInversePolyOrRadicalCopy,findInverseLogOrExp,findInversePolyOrRadical,domainAfterOperatingCopy,determine1to1Copy,domainAfterOperating,factorUsingSynthetic2IntegersCopy,syntheticDivision,syntheticDivisionMissingTerms,factorUsingSynthetic2Integers,factorUsingSynthetic2RationalsCopy,syntheticDivisionCopy,syntheticDivisionMissingTermsCopy,possibleRoots,factorUsingSynthetic2Rationals,possibleRootsCopy,evaluateLimitGraphically,evaluateLimitAnalyticalHardCopy,evaluateLimitAnalyticalEasyCopy,oneSidedLimitsCopy,interpretLimit,interpretLimitCopy,oneSidedLimits,evaluateLimitAnalyticalEasy,evaluateLimitAnalyticalHard,evaluateLimitGraphicallyCopy,identifyHolesCopy,identifyVAsCopy,identifyGraphOfRationalFunctionCopy,identifyOAsCopy,identifyOAs,identifyHAs,identifyVAs,identifyHAsCopy,identifyGraphOfRationalFunction,identifyHoles
A,E,B,D,C,E,C,C,D,E,B,D,B,B,B,C,E,E,D,A,A,C,C,A,C,C,D,C,B,C,E,B,D,B,D,C,D,D,E,A,E,D,A,C,B,D,B,B,E,D,D,C,A,D,C,D,E,A,E,B,A,A,D,E,D,C,B,E,B,C,D,A,B,E,E,A,B,E,D,B,E,E,D,D,B,B,E,E,C,C,A,B,C,B,A,B,A,A,D,C,D,B,D,A,E,D,E,B,C,C,B,C,B,A,A,B,,D,C,D,C,B,A,B,E,E,D,C,D,B,C,C,D,B,B,D,D,D,A,D,D,D,E,C,C,E,B,C,C,A,B,D,A,B,E,D,A,C,C,D,E
B,A,D,D,E,A,C,B,D,A,D,D,D,B,C,C,C,B,A,D,A,A,B,B,D,B,A,A,A,D,E,A,A,B,B,C,D,C,A,A,A,D,E,E,A,C,D,A,E,B,A,C,A,E,A,A,D,C,B,A,D,E,E,B,A,C,A,E,D,C,C,D,E,E,E,B,D,E,D,A,C,E,D,B,D,A,B,E,B,C,C,D,D,C,C,C,B,A,D,A,D,E,A,E,C,B,B,B,E,A,A,A,C,A,E,D,B,C,A,C,,B,A,D,A,A,B,C,A,A,C,E,E,E,D,C,A,D,C,B,D,A,E,C,C,B,C,C,C,E,D,D,E,B,D,C,A,D,B,D,D
C,A,A,C,A,D,C,B,D,E,B,D,B,D,C,E,C,B,A,B,B,E,B,A,C,C,A,C,A,B,D,D,A,C,C,C,D,B,B,C,A,D,D,C,B,C,B,B,E,E,C,A,C,C,A,A,C,C,E,D,D,D,A,D,D,E,B,E,E,E,B,E,D,E,E,D,C,E,D,B,E,E,D,D,B,D,E,A,D,C,E,A,A,D,B,D,C,B,D,C,D,A,B,E,A,D,E,D,B,D,B,D,B,D,A,E,C,D,B,B,B,B,B,A,A,A,A,E,B,D,C,C,A,C,D,E,C,C,C,A,C,D,E,C,C,D,E,E,C,E,D,D,B,C,D,D,E,D,D,A,E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
