Version,orderOfOperations,subgroupComplex,divideComplex,subgroupRealCopy,orderOfOperationsCopy,multiplyComplexCopy,multiplyComplex,subgroupReal,subgroupComplexCopy,divideComplexCopy,linearTwoPointsCopy,linearGraphToStandardCopy,solveIntegerLinearCopy,linearTwoPoints,linearGraphToStandard,solveIntegerLinear,solveLinearRational,linearParOrPer,solveLinearRationalCopy,linearParOrPerCopy,solveRationalInequality,solveIntegerInequality,describeSet,solveCompoundAND,solveRationalInequalityCopy,solveCompoundOR_copy,solveCompoundAND_copy,describeSetCopy,solveCompoundOR,solveIntegerInequalityCopy,quadraticGraphToEquation,solveQuadraticFactorComposites,factorLeadingOver1CompositeCopy,quadraticGraphToEquationCopy,quadraticEquationToGraph,quadraticFormulaCopy,solveQuadraticFactorCompositesCopy,quadraticEquationToGraphCopy,quadraticFormula,factorLeadingOver1Composite,radicalGraphToEquationCopy,radicalEquationToGraph,solveRadicalQuadraticCopy,radicalGraphToEquation,solveRadicalQuadratic,solveRadicalLinearCopy,domainRadical,radicalEquationToGraphCopy,domainRadicalCopy,solveRadicalLinear,constructPolyRationals,polyZeroBehaviorCopy,polyGraphToFunctionCopy,constructPolyComplex,polyGraphToFunction,polyZeroBehavior,polyEndBehavior,polyEndBehaviorCopy,constructPolyRationalsCopy,constructPolyComplexCopy,domainRational,rationalEquationToGraph,rationalEquationToGraphCopy,rationalGraphToEquation,rationalGraphToEquationCopy,solveRationalLinear,solveRationalLinearCopy,domainRationalCopy,solveRationalQuadratic,solveRationalQuadraticCopy,domainRangeLog,solveByConverting,domainRangeLogCopy,solveByLogProperties,solveByLogPropertiesCopy,domainRangeExp,solveExpDifferentBasesCopy,solveByConvertingCopy,solveExpDifferentBases,domainRangeExpCopy,identifyModelPopulationLinear,constructLinearModelMixture,domainLinearModelCopy,constructLinearModelDistanceAndRateCopy,constructLinearModelMixtureCopy,identifyModelPopulationLinearCopy,constructLinearModelDistanceAndRate,constructLinearModelCostsProfitsRevenue,domainLinearModel,constructLinearModelCostsProfitsRevenueCopy,constructDirectModelCopy,identifyModelPopulationPowerCopy,identifyModelPopulationPower,constructJointModelCopy,constructJointModel,constructIndirectModel,constructIndirectModelCopy,constructDirectModel,identifyModelVariationCopy,identifyModelVariation,constructBacteriaGrowth,constructBacteriaGrowthCopy,constructHalfLifeModel,identifyModelPopulationLogExpCopy,identifyModelPopulationLogExp,identifyModelGraph11Copy,identifyModelGraph11,constructTemperatureModelCopy,constructTemperatureModel,constructHalfLifeModelCopy,solveModelPower,solveModelPowerCopy,identifyModelGraph12Copy,solveModelExpCopy,solveModelLinear,constructModelMixed,constructModelMixedCopy,identifyModelGraph12,solveModelExp,solveModelLinearCopy,domainAfterOperatingCopy,findInverseLogOrExp,determine1to1Copy,findInverseLogOrExpCopy,determine1to1,functionComposition,functionCompositionCopy,findInversePolyOrRadical,findInversePolyOrRadicalCopy,domainAfterOperating,syntheticDivisionMissingTerms,possibleRootsCopy,syntheticDivisionCopy,factorUsingSynthetic2Rationals,factorUsingSynthetic2IntegersCopy,factorUsingSynthetic2RationalsCopy,syntheticDivisionMissingTermsCopy,factorUsingSynthetic2Integers,syntheticDivision,possibleRoots,evaluateLimitAnalyticalHardCopy,interpretLimitCopy,evaluateLimitGraphicallyCopy,evaluateLimitGraphically,evaluateLimitAnalyticalEasy,evaluateLimitAnalyticalEasyCopy,oneSidedLimits,interpretLimit,oneSidedLimitsCopy,evaluateLimitAnalyticalHard,identifyVAsCopy,identifyHoles,identifyGraphOfRationalFunctionCopy,identifyHAs,identifyGraphOfRationalFunction,identifyVAs,identifyHAsCopy,identifyHolesCopy,identifyOAsCopy,identifyOAs
A,C,E,E,D,B,C,E,D,E,D,D,A,B,E,D,A,C,E,C,C,D,A,B,E,A,D,D,C,C,D,A,D,D,A,A,A,C,D,B,D,D,D,B,E,C,E,B,D,E,B,D,A,C,B,C,C,A,D,D,A,C,B,D,E,C,D,A,D,D,D,C,B,E,E,E,B,A,C,A,D,B,B,B,D,D,D,D,E,A,B,C,B,B,D,B,B,B,B,D,D,E,E,A,D,A,D,C,A,A,D,B,B,B,A,A,D,A,D,A,B,A,A,B,E,A,B,B,C,E,A,B,B,A,C,C,E,E,A,A,A,C,A,D,D,A,B,D,C,D,E,D,A,C,D,D,D,B,A,D,E
B,A,A,B,B,A,E,A,A,D,A,C,D,B,D,C,C,B,B,D,D,C,C,E,E,B,A,E,D,A,C,C,A,A,B,D,C,C,B,D,B,D,B,A,D,E,C,C,D,E,A,D,D,B,C,D,D,A,A,D,D,C,E,A,E,D,D,B,D,E,B,E,C,E,E,B,D,A,C,C,C,D,B,C,D,D,C,B,E,E,D,D,A,D,A,B,C,D,B,D,D,D,E,C,A,A,D,A,E,E,C,C,D,A,A,A,A,C,C,C,D,C,D,B,A,C,A,A,E,E,C,B,B,C,E,E,A,E,B,A,B,E,C,D,D,B,A,C,E,D,E,D,D,B,B,D,E,E,D,B,B
C,B,B,E,D,C,A,B,C,E,E,D,A,C,A,D,D,D,E,C,E,A,C,C,A,A,B,B,E,A,C,E,C,C,C,D,D,D,C,C,C,D,A,B,C,D,D,D,D,D,D,C,D,A,D,C,D,D,B,D,D,E,D,D,C,E,E,B,C,C,D,E,C,E,E,A,A,B,D,A,E,C,C,D,B,B,C,C,A,C,C,D,C,D,A,D,D,B,D,D,D,A,E,A,A,B,D,D,E,B,B,B,B,A,A,B,E,B,A,C,B,B,B,D,D,B,C,C,A,E,E,D,B,C,D,A,A,A,E,E,B,E,A,C,C,C,C,E,B,A,E,B,C,A,E,C,B,C,E,C,E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
