Version,subgroupComplex,divideComplexCopy,multiplyComplexCopy,orderOfOperationsCopy,orderOfOperations,subgroupComplexCopy,multiplyComplex,subgroupReal,divideComplex,subgroupRealCopy,linearParOrPer,linearTwoPoints,solveLinearRationalCopy,solveIntegerLinear,solveLinearRational,linearTwoPointsCopy,solveIntegerLinearCopy,linearGraphToStandardCopy,linearGraphToStandard,linearParOrPerCopy,solveCompoundAND,solveCompoundOR,solveRationalInequality,solveIntegerInequality,solveIntegerInequalityCopy,describeSet,solveCompoundAND_copy,solveRationalInequalityCopy,describeSetCopy,solveCompoundOR_copy,quadraticEquationToGraphCopy,quadraticEquationToGraph,solveQuadraticFactorCompositesCopy,factorLeadingOver1CompositeCopy,quadraticFormulaCopy,factorLeadingOver1Composite,quadraticGraphToEquationCopy,quadraticGraphToEquation,solveQuadraticFactorComposites,quadraticFormula,solveRadicalQuadraticCopy,radicalEquationToGraph,radicalEquationToGraphCopy,solveRadicalQuadratic,radicalGraphToEquationCopy,radicalGraphToEquation,domainRadicalCopy,domainRadical,solveRadicalLinearCopy,solveRadicalLinear,polyZeroBehavior,polyEndBehavior,constructPolyComplex,constructPolyComplexCopy,polyGraphToFunction,polyZeroBehaviorCopy,constructPolyRationalsCopy,polyGraphToFunctionCopy,polyEndBehaviorCopy,constructPolyRationals,solveRationalLinear,rationalEquationToGraph,rationalGraphToEquationCopy,domainRationalCopy,solveRationalLinearCopy,solveRationalQuadratic,rationalGraphToEquation,domainRational,rationalEquationToGraphCopy,solveRationalQuadraticCopy,domainRangeExp,solveByConvertingCopy,solveExpDifferentBases,solveByConverting,domainRangeExpCopy,domainRangeLogCopy,solveExpDifferentBasesCopy,solveByLogProperties,solveByLogPropertiesCopy,domainRangeLog,constructLinearModelCostsProfitsRevenue,constructLinearModelCostsProfitsRevenueCopy,constructLinearModelDistanceAndRate,constructLinearModelDistanceAndRateCopy,constructLinearModelMixtureCopy,domainLinearModelCopy,identifyModelPopulationLinearCopy,domainLinearModel,identifyModelPopulationLinear,constructLinearModelMixture,constructJointModel,constructJointModelCopy,identifyModelPopulationPowerCopy,identifyModelVariation,constructIndirectModel,constructDirectModelCopy,identifyModelVariationCopy,constructDirectModel,identifyModelPopulationPower,constructIndirectModelCopy,identifyModelGraph11,constructTemperatureModel,constructHalfLifeModel,identifyModelPopulationLogExp,identifyModelGraph11Copy,constructBacteriaGrowth,constructBacteriaGrowthCopy,constructHalfLifeModelCopy,constructTemperatureModelCopy,identifyModelPopulationLogExpCopy,solveModelLinear,constructModelMixed,solveModelPowerCopy,solveModelLinearCopy,solveModelPower,identifyModelGraph12,identifyModelGraph12Copy,constructModelMixedCopy,solveModelExpCopy,solveModelExp,domainAfterOperatingCopy,findInverseLogOrExpCopy,functionCompositionCopy,domainAfterOperating,findInversePolyOrRadicalCopy,findInverseLogOrExp,findInversePolyOrRadical,determine1to1Copy,determine1to1,functionComposition,syntheticDivision,factorUsingSynthetic2RationalsCopy,possibleRoots,factorUsingSynthetic2Rationals,factorUsingSynthetic2Integers,syntheticDivisionMissingTerms,syntheticDivisionMissingTermsCopy,factorUsingSynthetic2IntegersCopy,syntheticDivisionCopy,possibleRootsCopy,oneSidedLimitsCopy,evaluateLimitAnalyticalEasy,evaluateLimitAnalyticalHardCopy,interpretLimit,oneSidedLimits,interpretLimitCopy,evaluateLimitGraphicallyCopy,evaluateLimitGraphically,evaluateLimitAnalyticalEasyCopy,evaluateLimitAnalyticalHard,identifyHolesCopy,identifyHAsCopy,identifyOAsCopy,identifyGraphOfRationalFunction,identifyOAs,identifyVAsCopy,identifyGraphOfRationalFunctionCopy,identifyVAs,identifyHoles,identifyHAs
A,D,E,D,C,A,D,C,D,A,D,D,A,C,D,B,E,C,D,E,B,A,C,A,B,B,A,E,B,E,D,C,D,E,A,D,D,E,C,E,A,C,B,B,B,C,E,A,B,E,D,B,C,A,C,D,A,D,B,B,C,C,E,C,B,D,D,D,A,C,B,E,A,D,B,D,E,D,C,E,A,B,E,A,C,B,B,C,A,C,D,D,D,D,D,B,A,D,A,D,C,B,E,C,D,A,A,B,C,E,B,D,C,D,D,A,B,E,D,A,A,B,B,D,A,D,A,E,B,D,D,C,A,C,E,E,C,E,C,C,B,D,B,A,B,D,A,D,C,A,A,A,B,E,C,D,A,B,E,D,B
B,E,E,D,C,A,E,C,B,B,C,E,C,B,C,B,A,C,C,A,A,B,D,D,A,C,D,E,C,D,C,D,A,B,A,B,B,E,B,B,B,D,C,A,C,B,D,C,C,E,E,B,A,D,D,B,C,E,A,C,D,E,E,B,A,C,E,E,D,C,B,C,B,C,B,D,B,C,E,E,C,E,B,C,D,D,A,A,A,A,C,A,D,C,D,B,D,D,B,C,A,E,E,B,C,C,E,E,C,E,B,C,C,C,A,A,D,E,D,D,D,E,E,A,B,E,E,E,B,E,B,C,D,B,D,D,B,C,D,A,C,A,A,D,C,D,B,D,B,B,E,A,D,B,B,C,A,B,E,C,E
C,A,C,E,A,C,D,A,B,A,D,E,E,C,C,D,B,B,E,A,A,C,A,D,C,C,D,D,A,C,B,C,B,D,C,A,C,E,C,B,D,A,C,C,A,E,E,E,C,E,A,C,A,A,D,B,A,D,D,D,B,B,E,E,D,B,E,A,D,E,C,E,A,C,D,E,D,A,E,E,E,B,E,C,A,D,E,C,E,D,B,C,B,C,D,C,B,D,B,D,B,C,A,B,C,A,D,C,D,D,A,C,C,D,C,A,D,B,D,C,A,E,E,B,B,A,C,E,C,A,A,A,D,C,D,B,A,B,E,B,C,D,C,C,B,D,B,C,D,A,C,D,E,E,A,C,D,C,D,E,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
