Version,orderOfOperationsCopy,subgroupRealCopy,divideComplex,multiplyComplexCopy,subgroupComplexCopy,multiplyComplex,orderOfOperations,subgroupComplex,divideComplexCopy,subgroupReal,linearTwoPoints,solveIntegerLinear,solveIntegerLinearCopy,linearTwoPointsCopy,linearParOrPerCopy,linearGraphToStandard,solveLinearRationalCopy,solveLinearRational,linearGraphToStandardCopy,linearParOrPer,solveCompoundOR_copy,solveRationalInequality,solveRationalInequalityCopy,describeSetCopy,solveCompoundAND,solveIntegerInequality,solveCompoundOR,describeSet,solveCompoundAND_copy,solveIntegerInequalityCopy,solveQuadraticFactorComposites,quadraticGraphToEquation,quadraticEquationToGraphCopy,quadraticEquationToGraph,solveQuadraticFactorCompositesCopy,quadraticFormulaCopy,quadraticGraphToEquationCopy,factorLeadingOver1Composite,factorLeadingOver1CompositeCopy,quadraticFormula,radicalGraphToEquation,radicalGraphToEquationCopy,solveRadicalQuadratic,solveRadicalLinear,domainRadical,radicalEquationToGraph,domainRadicalCopy,solveRadicalQuadraticCopy,radicalEquationToGraphCopy,solveRadicalLinearCopy,constructPolyRationals,polyEndBehaviorCopy,constructPolyComplex,polyGraphToFunctionCopy,polyZeroBehaviorCopy,polyZeroBehavior,polyEndBehavior,constructPolyComplexCopy,constructPolyRationalsCopy,polyGraphToFunction,solveRationalLinearCopy,rationalEquationToGraphCopy,solveRationalQuadratic,domainRational,solveRationalLinear,rationalGraphToEquation,solveRationalQuadraticCopy,rationalEquationToGraph,rationalGraphToEquationCopy,domainRationalCopy,solveByLogPropertiesCopy,solveExpDifferentBasesCopy,domainRangeExpCopy,solveExpDifferentBases,domainRangeLogCopy,domainRangeLog,solveByLogProperties,solveByConvertingCopy,solveByConverting,domainRangeExp,constructLinearModelCostsProfitsRevenueCopy,identifyModelPopulationLinearCopy,identifyModelPopulationLinear,domainLinearModelCopy,constructLinearModelDistanceAndRateCopy,domainLinearModel,constructLinearModelMixtureCopy,constructLinearModelCostsProfitsRevenue,constructLinearModelMixture,constructLinearModelDistanceAndRate,constructJointModelCopy,constructIndirectModel,constructIndirectModelCopy,constructJointModel,identifyModelPopulationPowerCopy,identifyModelPopulationPower,identifyModelVariationCopy,constructDirectModelCopy,identifyModelVariation,constructDirectModel,identifyModelPopulationLogExpCopy,constructHalfLifeModel,constructTemperatureModel,constructTemperatureModelCopy,constructHalfLifeModelCopy,identifyModelGraph11,identifyModelGraph11Copy,constructBacteriaGrowth,identifyModelPopulationLogExp,constructBacteriaGrowthCopy,solveModelPower,solveModelExp,constructModelMixedCopy,identifyModelGraph12,solveModelPowerCopy,solveModelLinear,constructModelMixed,solveModelLinearCopy,solveModelExpCopy,identifyModelGraph12Copy,findInverseLogOrExp,domainAfterOperating,findInversePolyOrRadicalCopy,domainAfterOperatingCopy,functionCompositionCopy,functionComposition,determine1to1,determine1to1Copy,findInverseLogOrExpCopy,findInversePolyOrRadical,possibleRoots,syntheticDivisionMissingTerms,factorUsingSynthetic2Rationals,factorUsingSynthetic2IntegersCopy,factorUsingSynthetic2Integers,syntheticDivisionCopy,syntheticDivision,syntheticDivisionMissingTermsCopy,factorUsingSynthetic2RationalsCopy,possibleRootsCopy,evaluateLimitGraphically,evaluateLimitAnalyticalEasy,evaluateLimitGraphicallyCopy,interpretLimit,oneSidedLimitsCopy,evaluateLimitAnalyticalHard,evaluateLimitAnalyticalHardCopy,interpretLimitCopy,evaluateLimitAnalyticalEasyCopy,oneSidedLimits,identifyOAs,identifyGraphOfRationalFunctionCopy,identifyGraphOfRationalFunction,identifyVAsCopy,identifyHAsCopy,identifyHoles,identifyOAsCopy,identifyHAs,identifyVAs,identifyHolesCopy
A,B,B,C,D,D,C,D,B,E,B,B,B,A,E,A,C,B,C,C,B,D,A,A,E,E,D,D,E,B,D,C,B,B,B,A,A,A,A,B,A,E,A,E,E,D,A,A,A,C,D,C,D,C,D,C,B,A,B,C,C,B,B,C,C,E,A,D,E,A,E,B,A,E,D,E,E,E,B,A,E,C,A,D,C,C,A,C,E,A,D,B,C,A,D,B,C,D,A,D,B,C,D,B,D,A,A,D,B,B,E,A,A,E,D,A,C,B,C,C,A,C,D,B,D,D,A,A,C,E,B,B,E,C,D,E,A,A,A,A,A,A,A,A,A,D,E,E,A,A,C,E,D,D,C,E,D,D,C,A,E
B,A,A,D,A,B,C,A,C,A,E,A,D,D,E,D,C,B,D,E,B,A,B,B,B,B,D,B,A,C,D,A,C,B,D,C,A,E,B,C,C,E,C,A,B,E,A,A,B,B,B,B,A,A,D,B,B,C,D,B,A,E,A,B,C,E,C,D,D,A,C,A,B,E,C,B,D,B,B,A,A,D,A,B,B,B,D,D,B,D,D,B,A,C,C,C,D,D,B,D,C,C,C,A,E,A,C,E,B,B,E,B,C,C,D,D,D,B,C,C,E,C,E,E,C,C,B,D,C,E,E,C,C,A,E,A,B,A,E,D,D,A,A,D,A,E,E,E,C,C,E,E,B,D,B,B,D,C,D,E,A
C,B,B,E,C,A,C,A,E,E,B,D,A,D,C,C,E,A,A,E,E,C,D,B,A,E,D,B,C,C,D,D,D,C,C,C,D,B,C,D,D,E,E,E,E,A,D,E,D,A,C,A,D,C,D,C,C,C,C,A,C,B,A,A,B,E,E,B,A,B,E,E,A,B,A,E,B,B,A,C,E,E,D,A,A,B,C,C,E,C,C,B,D,C,C,B,B,D,B,D,D,D,B,C,E,C,E,C,D,B,E,B,B,,B,C,B,E,A,B,C,D,B,E,B,B,B,A,D,B,B,A,B,B,B,B,B,E,A,E,C,A,B,D,E,D,E,E,D,A,E,C,D,C,D,D,D,C,C,D,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
