Version,functionCompositionCopy,findInversePolyOrRadicalCopy,findInverseLogOrExpCopy,determine1to1Copy,domainAfterOperating,findInversePolyOrRadical,findInverseLogOrExp,domainAfterOperatingCopy,determine1to1,functionComposition
A,C,E,B,D,D,C,C,A,E,D
B,B,E,C,E,A,E,E,C,D,A
C,A,C,E,E,E,E,A,C,C,A
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
