Version,divideComplex,subgroupRealCopy,multiplyComplex,subgroupComplex,divideComplexCopy,orderOfOperationsCopy,multiplyComplexCopy,subgroupReal,subgroupComplexCopy,orderOfOperations,linearTwoPoints,linearGraphToStandard,solveIntegerLinear,solveIntegerLinearCopy,linearParOrPerCopy,linearTwoPointsCopy,linearParOrPer,solveLinearRationalCopy,solveLinearRational,linearGraphToStandardCopy,solveCompoundAND,describeSetCopy,solveRationalInequality,solveCompoundAND_copy,describeSet,solveCompoundOR_copy,solveCompoundOR,solveIntegerInequality,solveRationalInequalityCopy,solveIntegerInequalityCopy,solveQuadraticFactorCompositesCopy,quadraticEquationToGraphCopy,quadraticFormulaCopy,solveQuadraticFactorComposites,quadraticEquationToGraph,quadraticGraphToEquation,factorLeadingOver1Composite,factorLeadingOver1CompositeCopy,quadraticGraphToEquationCopy,quadraticFormula,solveRadicalQuadratic,radicalGraphToEquation,solveRadicalQuadraticCopy,radicalEquationToGraph,solveRadicalLinearCopy,radicalEquationToGraphCopy,domainRadicalCopy,domainRadical,solveRadicalLinear,radicalGraphToEquationCopy,constructPolyRationals,polyGraphToFunction,polyZeroBehavior,constructPolyComplexCopy,constructPolyRationalsCopy,polyZeroBehaviorCopy,polyEndBehaviorCopy,polyEndBehavior,polyGraphToFunctionCopy,constructPolyComplex,rationalGraphToEquation,domainRationalCopy,solveRationalQuadraticCopy,domainRational,rationalEquationToGraph,rationalGraphToEquationCopy,rationalEquationToGraphCopy,solveRationalLinear,solveRationalQuadratic,solveRationalLinearCopy,domainRangeLogCopy,solveByConvertingCopy,domainRangeExpCopy,domainRangeLog,solveByLogPropertiesCopy,solveByConverting,solveByLogProperties,solveExpDifferentBases,domainRangeExp,solveExpDifferentBasesCopy,identifyModelPopulationLinearCopy,constructLinearModelCostsProfitsRevenue,constructLinearModelDistanceAndRateCopy,constructLinearModelCostsProfitsRevenueCopy,domainLinearModelCopy,constructLinearModelMixtureCopy,constructLinearModelDistanceAndRate,domainLinearModel,identifyModelPopulationLinear,constructLinearModelMixture,identifyModelVariation,constructDirectModel,constructDirectModelCopy,constructJointModel,identifyModelPopulationPower,identifyModelVariationCopy,constructJointModelCopy,identifyModelPopulationPowerCopy,constructIndirectModelCopy,constructIndirectModel,constructBacteriaGrowth,identifyModelGraph11,constructBacteriaGrowthCopy,identifyModelPopulationLogExpCopy,identifyModelGraph11Copy,constructHalfLifeModelCopy,identifyModelPopulationLogExp,constructTemperatureModelCopy,constructHalfLifeModel,constructTemperatureModel,constructModelMixedCopy,identifyModelGraph12Copy,solveModelLinear,solveModelExpCopy,solveModelPowerCopy,solveModelLinearCopy,solveModelExp,solveModelPower,constructModelMixed,identifyModelGraph12,findInversePolyOrRadical,determine1to1Copy,functionCompositionCopy,domainAfterOperating,findInverseLogOrExp,domainAfterOperatingCopy,determine1to1,findInversePolyOrRadicalCopy,findInverseLogOrExpCopy,functionComposition,possibleRoots,syntheticDivisionMissingTermsCopy,possibleRootsCopy,factorUsingSynthetic2Integers,factorUsingSynthetic2Rationals,factorUsingSynthetic2IntegersCopy,factorUsingSynthetic2RationalsCopy,syntheticDivisionCopy,syntheticDivisionMissingTerms,syntheticDivision,oneSidedLimitsCopy,evaluateLimitAnalyticalEasyCopy,evaluateLimitAnalyticalEasy,evaluateLimitGraphicallyCopy,evaluateLimitAnalyticalHard,evaluateLimitAnalyticalHardCopy,oneSidedLimits,evaluateLimitGraphically,interpretLimit,interpretLimitCopy,identifyHAsCopy,identifyVAsCopy,identifyHolesCopy,identifyHoles,identifyOAsCopy,identifyHAs,identifyGraphOfRationalFunction,identifyOAs,identifyGraphOfRationalFunctionCopy,identifyVAs
A,A,E,B,E,A,A,E,A,A,D,C,D,D,C,E,E,D,C,A,D,B,A,B,E,C,A,A,C,B,C,C,B,A,C,D,E,D,A,B,C,B,E,B,C,A,B,D,B,E,B,D,A,B,D,E,A,A,C,E,B,B,E,C,B,C,E,E,D,C,D,E,D,E,C,C,B,B,D,D,D,B,E,D,E,C,A,B,B,B,B,D,A,D,D,A,D,D,C,B,D,D,E,B,A,B,B,D,E,B,E,B,E,D,C,D,C,D,B,B,C,E,D,D,D,B,D,C,A,D,A,A,E,D,E,C,A,E,C,D,D,C,B,C,D,D,E,A,B,A,A,D,A,D,A,E,D,C,E,C,E
B,E,D,B,C,E,B,A,B,D,A,D,B,D,B,B,E,D,D,B,C,D,D,C,D,B,D,A,B,D,C,E,B,C,E,D,C,A,A,C,B,A,C,D,D,C,C,B,D,E,D,B,A,C,A,D,B,A,D,A,A,C,B,D,D,E,E,B,D,A,D,D,A,E,E,E,A,B,A,A,D,B,E,C,E,D,C,C,B,A,D,D,A,B,A,A,D,B,C,A,D,B,C,E,A,B,B,A,B,C,E,,C,C,D,D,B,C,B,B,C,E,C,C,D,D,D,C,E,B,B,C,E,D,A,A,A,D,E,D,D,E,C,A,B,D,B,B,C,E,E,C,A,D,A,D,C,C,C,B,E
C,D,B,E,E,A,D,D,C,A,A,E,B,B,C,D,C,B,B,A,D,E,B,A,E,B,B,D,D,B,D,E,D,B,D,D,A,D,A,E,C,E,E,E,C,D,C,D,C,C,E,A,D,D,B,B,B,C,D,C,A,A,B,A,B,C,D,C,A,C,B,D,C,E,E,E,C,B,C,D,D,D,B,D,B,D,B,C,C,A,B,D,B,A,B,B,D,D,C,D,C,E,D,D,C,A,D,D,E,A,B,D,A,B,B,D,D,C,A,B,A,E,B,D,C,C,D,B,C,A,B,C,B,D,B,D,C,E,D,D,E,A,A,A,D,E,B,E,D,E,A,D,E,A,B,E,C,A,D,A,C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
