Version,divideComplexCopy,divideComplex,multiplyComplex,subgroupReal,orderOfOperationsCopy,orderOfOperations,subgroupComplex,subgroupComplexCopy,multiplyComplexCopy,subgroupRealCopy,linearGraphToStandard,solveIntegerLinearCopy,solveLinearRationalCopy,linearParOrPerCopy,linearTwoPointsCopy,solveLinearRational,linearParOrPer,solveIntegerLinear,linearTwoPoints,linearGraphToStandardCopy,solveIntegerInequalityCopy,describeSetCopy,solveCompoundAND_copy,solveRationalInequality,solveCompoundOR_copy,solveCompoundOR,solveCompoundAND,describeSet,solveRationalInequalityCopy,solveIntegerInequality,solveQuadraticFactorCompositesCopy,solveQuadraticFactorComposites,factorLeadingOver1Composite,quadraticEquationToGraphCopy,quadraticFormulaCopy,quadraticFormula,quadraticGraphToEquation,factorLeadingOver1CompositeCopy,quadraticGraphToEquationCopy,quadraticEquationToGraph,solveRadicalLinear,domainRadical,solveRadicalQuadratic,solveRadicalQuadraticCopy,radicalEquationToGraph,radicalGraphToEquation,solveRadicalLinearCopy,radicalGraphToEquationCopy,radicalEquationToGraphCopy,domainRadicalCopy,polyEndBehavior,constructPolyRationals,polyZeroBehaviorCopy,constructPolyComplexCopy,polyGraphToFunctionCopy,polyZeroBehavior,polyEndBehaviorCopy,constructPolyComplex,constructPolyRationalsCopy,polyGraphToFunction,domainRationalCopy,solveRationalLinearCopy,solveRationalQuadraticCopy,rationalEquationToGraphCopy,rationalGraphToEquation,rationalEquationToGraph,solveRationalQuadratic,rationalGraphToEquationCopy,domainRational,solveRationalLinear,domainRangeLogCopy,solveExpDifferentBases,solveByLogProperties,solveExpDifferentBasesCopy,domainRangeLog,domainRangeExp,solveByLogPropertiesCopy,solveByConverting,solveByConvertingCopy,domainRangeExpCopy,domainLinearModel,constructLinearModelDistanceAndRate,constructLinearModelMixtureCopy,identifyModelPopulationLinear,identifyModelPopulationLinearCopy,domainLinearModelCopy,constructLinearModelCostsProfitsRevenue,constructLinearModelMixture,constructLinearModelCostsProfitsRevenueCopy,constructLinearModelDistanceAndRateCopy,constructDirectModel,identifyModelPopulationPowerCopy,constructJointModel,identifyModelPopulationPower,constructIndirectModel,constructIndirectModelCopy,constructDirectModelCopy,identifyModelVariation,constructJointModelCopy,identifyModelVariationCopy,identifyModelGraph11,constructBacteriaGrowthCopy,identifyModelPopulationLogExpCopy,constructHalfLifeModelCopy,constructBacteriaGrowth,constructTemperatureModel,constructHalfLifeModel,identifyModelGraph11Copy,constructTemperatureModelCopy,identifyModelPopulationLogExp,solveModelLinear,identifyModelGraph12,constructModelMixed,identifyModelGraph12Copy,constructModelMixedCopy,solveModelPowerCopy,solveModelExp,solveModelExpCopy,solveModelPower,solveModelLinearCopy,findInversePolyOrRadicalCopy,determine1to1Copy,determine1to1,findInverseLogOrExp,domainAfterOperatingCopy,findInversePolyOrRadical,functionComposition,domainAfterOperating,functionCompositionCopy,findInverseLogOrExpCopy,syntheticDivision,possibleRootsCopy,syntheticDivisionMissingTerms,possibleRoots,syntheticDivisionCopy,syntheticDivisionMissingTermsCopy,factorUsingSynthetic2Integers,factorUsingSynthetic2IntegersCopy,factorUsingSynthetic2Rationals,factorUsingSynthetic2RationalsCopy,evaluateLimitAnalyticalHardCopy,evaluateLimitGraphicallyCopy,interpretLimit,oneSidedLimitsCopy,evaluateLimitAnalyticalHard,evaluateLimitGraphically,evaluateLimitAnalyticalEasy,evaluateLimitAnalyticalEasyCopy,interpretLimitCopy,oneSidedLimits,identifyHAs,identifyGraphOfRationalFunctionCopy,identifyVAs,identifyHoles,identifyOAs,identifyOAsCopy,identifyGraphOfRationalFunction,identifyVAsCopy,identifyHolesCopy,identifyHAsCopy
A,B,B,B,D,D,B,A,B,E,E,A,A,A,A,E,A,D,D,D,A,B,C,E,B,B,D,A,A,B,D,A,A,B,D,D,B,D,B,C,D,D,E,C,D,A,E,D,E,C,D,D,D,A,D,C,D,D,B,A,A,C,A,E,B,D,A,E,E,E,C,E,D,E,C,E,A,E,A,B,D,D,B,C,D,C,E,C,D,E,C,A,D,B,C,B,D,A,D,C,D,B,C,C,B,D,B,D,D,E,B,A,E,D,A,B,A,B,B,C,C,E,C,E,A,E,E,D,B,B,A,A,A,B,B,B,A,A,B,B,B,E,D,E,C,B,D,A,C,A,A,C,C,C,E,C,D,C,A,E,B
B,A,B,D,C,B,C,C,A,D,B,B,C,A,D,B,A,A,A,E,E,B,E,E,A,D,C,E,C,D,D,D,B,B,B,D,D,B,D,B,A,C,E,C,B,A,D,D,E,B,E,D,A,B,C,A,D,B,C,B,B,E,B,B,A,A,E,C,E,C,A,E,C,A,C,C,E,E,A,C,E,B,A,B,C,B,D,B,C,B,B,D,D,C,D,C,B,B,D,A,D,C,E,D,A,E,E,B,A,E,B,B,A,B,A,C,D,B,D,B,B,E,D,A,A,C,A,D,D,B,E,C,A,C,B,A,C,B,A,D,D,D,C,E,A,B,C,B,C,E,B,B,D,B,D,A,D,B,C,D,A
C,A,B,B,B,A,C,E,A,D,A,E,B,A,E,C,D,C,B,D,B,B,D,E,C,D,A,C,A,B,C,B,E,D,D,D,B,A,B,B,D,C,B,B,A,D,E,C,E,D,B,D,C,C,A,B,C,B,A,D,A,E,B,D,D,E,E,D,B,E,E,B,B,C,D,E,E,C,A,C,E,C,A,D,B,A,A,E,C,E,A,D,A,B,B,C,A,C,D,C,D,A,A,A,C,B,E,B,C,D,C,B,B,B,A,E,B,C,B,B,C,E,E,E,C,A,E,B,A,D,D,B,C,D,D,D,E,C,C,B,B,D,D,E,D,B,A,A,C,B,A,E,C,B,E,D,D,C,B,E,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
