Version,subgroupRealCopy,subgroupReal,multiplyComplex,divideComplexCopy,subgroupComplex,orderOfOperationsCopy,orderOfOperations,subgroupComplexCopy,multiplyComplexCopy,divideComplex,linearParOrPerCopy,solveLinearRational,solveIntegerLinear,linearTwoPoints,linearTwoPointsCopy,linearGraphToStandardCopy,linearGraphToStandard,solveIntegerLinearCopy,linearParOrPer,solveLinearRationalCopy
A,A,E,B,A,B,C,B,C,E,B,E,B,B,C,A,E,E,D,A,A
B,A,A,A,E,C,D,A,C,E,A,E,B,C,A,E,C,D,C,A,B
C,D,D,B,B,E,A,C,C,E,C,E,A,C,B,D,A,C,D,E,C
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
