Version,divideComplex,orderOfOperations,multiplyComplexCopy,subgroupComplex,subgroupReal,divideComplexCopy,subgroupComplexCopy,subgroupRealCopy,orderOfOperationsCopy,multiplyComplex,linearGraphToStandard,linearParOrPer,linearTwoPoints,linearGraphToStandardCopy,solveIntegerLinear,solveLinearRationalCopy,linearTwoPointsCopy,linearParOrPerCopy,solveLinearRational,solveIntegerLinearCopy,solveIntegerInequalityCopy,solveCompoundOR,solveCompoundOR_copy,solveRationalInequalityCopy,solveIntegerInequality,describeSetCopy,solveCompoundAND,solveCompoundAND_copy,solveRationalInequality,describeSet,quadraticEquationToGraph,quadraticFormula,solveQuadraticFactorComposites,quadraticGraphToEquationCopy,factorLeadingOver1CompositeCopy,quadraticGraphToEquation,solveQuadraticFactorCompositesCopy,factorLeadingOver1Composite,quadraticFormulaCopy,quadraticEquationToGraphCopy,radicalGraphToEquation,radicalEquationToGraphCopy,radicalEquationToGraph,domainRadical,radicalGraphToEquationCopy,solveRadicalQuadraticCopy,domainRadicalCopy,solveRadicalLinearCopy,solveRadicalLinear,solveRadicalQuadratic,constructPolyRationals,polyZeroBehavior,polyGraphToFunction,polyZeroBehaviorCopy,polyGraphToFunctionCopy,polyEndBehaviorCopy,constructPolyComplexCopy,polyEndBehavior,constructPolyComplex,constructPolyRationalsCopy,solveRationalQuadratic,domainRationalCopy,rationalEquationToGraph,rationalEquationToGraphCopy,rationalGraphToEquation,rationalGraphToEquationCopy,solveRationalLinear,solveRationalLinearCopy,solveRationalQuadraticCopy,domainRational,solveByConverting,domainRangeLogCopy,solveByLogPropertiesCopy,solveByLogProperties,domainRangeLog,domainRangeExp,solveExpDifferentBasesCopy,solveExpDifferentBases,solveByConvertingCopy,domainRangeExpCopy,constructLinearModelMixture,identifyModelPopulationLinear,constructLinearModelCostsProfitsRevenue,identifyModelPopulationLinearCopy,domainLinearModel,constructLinearModelCostsProfitsRevenueCopy,constructLinearModelDistanceAndRateCopy,domainLinearModelCopy,constructLinearModelDistanceAndRate,constructLinearModelMixtureCopy,constructIndirectModelCopy,constructJointModel,identifyModelVariation,identifyModelPopulationPower,constructJointModelCopy,constructIndirectModel,identifyModelPopulationPowerCopy,identifyModelVariationCopy,constructDirectModelCopy,constructDirectModel,identifyModelGraph11,constructHalfLifeModel,constructHalfLifeModelCopy,identifyModelPopulationLogExpCopy,identifyModelGraph11Copy,constructTemperatureModelCopy,constructBacteriaGrowthCopy,constructTemperatureModel,constructBacteriaGrowth,identifyModelPopulationLogExp,constructModelMixed,identifyModelGraph12,solveModelExpCopy,identifyModelGraph12Copy,solveModelPowerCopy,solveModelExp,solveModelLinearCopy,solveModelLinear,constructModelMixedCopy,solveModelPower,functionCompositionCopy,functionComposition,domainAfterOperatingCopy,determine1to1Copy,findInversePolyOrRadical,findInversePolyOrRadicalCopy,determine1to1,findInverseLogOrExpCopy,domainAfterOperating,findInverseLogOrExp,syntheticDivisionCopy,factorUsingSynthetic2IntegersCopy,factorUsingSynthetic2RationalsCopy,factorUsingSynthetic2Rationals,possibleRoots,factorUsingSynthetic2Integers,syntheticDivision,possibleRootsCopy,syntheticDivisionMissingTermsCopy,syntheticDivisionMissingTerms,evaluateLimitAnalyticalHardCopy,evaluateLimitAnalyticalEasy,interpretLimitCopy,interpretLimit,oneSidedLimits,evaluateLimitAnalyticalHard,evaluateLimitGraphicallyCopy,evaluateLimitGraphically,oneSidedLimitsCopy,evaluateLimitAnalyticalEasyCopy,identifyOAs,identifyGraphOfRationalFunction,identifyHAs,identifyHolesCopy,identifyGraphOfRationalFunctionCopy,identifyVAsCopy,identifyOAsCopy,identifyHoles,identifyVAs,identifyHAsCopy
A,C,A,E,A,B,A,E,D,A,B,D,A,C,E,B,D,C,C,B,A,C,B,D,B,B,B,E,C,A,C,B,D,E,E,B,D,A,A,A,C,E,A,D,B,C,D,D,E,A,E,B,B,D,A,C,A,C,A,C,E,E,C,C,A,C,D,C,C,E,C,A,E,E,E,C,A,B,D,D,C,A,B,E,A,B,A,D,B,A,C,D,D,D,D,C,A,A,D,C,B,D,D,C,A,A,E,E,D,C,D,,A,A,A,B,B,D,C,,A,C,A,E,B,E,B,D,B,C,D,E,B,E,E,B,D,C,A,C,D,C,C,B,E,D,A,A,B,C,C,B,C,D,C,B,B,E,E,B,B
B,C,C,C,B,B,B,B,D,C,E,A,E,A,A,C,C,E,D,D,B,C,C,A,A,A,B,E,E,D,E,B,D,A,D,B,B,E,D,A,C,A,D,D,E,E,D,D,D,D,A,E,D,D,B,E,A,C,D,C,D,B,D,B,E,C,E,E,C,A,D,D,E,C,C,B,A,B,C,B,C,D,C,E,B,C,E,D,E,B,A,D,C,D,D,B,B,C,D,B,B,D,D,C,D,E,D,E,A,D,B,,D,A,C,B,B,B,B,,B,C,B,C,E,E,B,C,B,A,E,B,C,D,A,D,B,C,C,E,A,C,B,A,C,A,A,C,A,A,B,A,B,D,C,D,D,D,A,D,A
C,A,B,A,A,B,C,C,E,C,B,E,C,A,C,C,C,D,D,B,B,A,A,B,A,C,E,B,E,A,E,D,B,E,D,C,C,D,A,B,A,A,C,D,E,E,E,A,B,B,D,B,B,C,D,B,D,A,A,A,B,B,D,C,E,D,D,C,B,D,D,A,B,B,E,E,E,D,D,C,E,A,B,C,A,D,B,B,E,A,A,B,D,D,C,C,B,B,D,C,C,A,B,D,A,D,B,A,E,E,C,,D,C,C,B,D,D,D,,D,C,A,E,B,E,E,A,E,E,E,B,B,D,E,C,C,E,B,A,C,A,A,C,A,B,E,D,D,B,B,C,D,B,E,A,A,B,B,A,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
