Version,subgroupComplexCopy,multiplyComplexCopy,divideComplex,divideComplexCopy,orderOfOperationsCopy,subgroupRealCopy,subgroupReal,subgroupComplex,multiplyComplex,orderOfOperations,solveLinearRationalCopy,linearGraphToStandard,solveIntegerLinear,linearTwoPointsCopy,linearTwoPoints,linearGraphToStandardCopy,solveIntegerLinearCopy,linearParOrPerCopy,solveLinearRational,linearParOrPer,solveCompoundOR_copy,solveRationalInequalityCopy,solveCompoundAND_copy,solveIntegerInequalityCopy,describeSetCopy,solveIntegerInequality,solveCompoundAND,solveCompoundOR,solveRationalInequality,describeSet,factorLeadingOver1Composite,factorLeadingOver1CompositeCopy,quadraticGraphToEquation,quadraticEquationToGraph,solveQuadraticFactorCompositesCopy,quadraticFormula,solveQuadraticFactorComposites,quadraticGraphToEquationCopy,quadraticFormulaCopy,quadraticEquationToGraphCopy,domainRadical,radicalEquationToGraph,solveRadicalLinear,solveRadicalQuadratic,solveRadicalLinearCopy,radicalEquationToGraphCopy,radicalGraphToEquationCopy,solveRadicalQuadraticCopy,domainRadicalCopy,radicalGraphToEquation,constructPolyRationals,polyZeroBehavior,polyEndBehavior,polyZeroBehaviorCopy,polyEndBehaviorCopy,constructPolyComplex,constructPolyComplexCopy,polyGraphToFunctionCopy,constructPolyRationalsCopy,polyGraphToFunction,domainRationalCopy,rationalEquationToGraphCopy,rationalGraphToEquationCopy,rationalEquationToGraph,solveRationalLinearCopy,solveRationalQuadratic,domainRational,solveRationalLinear,solveRationalQuadraticCopy,rationalGraphToEquation,domainRangeLog,solveByConverting,solveByConvertingCopy,domainRangeExp,domainRangeExpCopy,solveExpDifferentBasesCopy,solveByLogPropertiesCopy,domainRangeLogCopy,solveByLogProperties,solveExpDifferentBases,constructLinearModelMixture,constructLinearModelCostsProfitsRevenue,domainLinearModel,identifyModelPopulationLinear,constructLinearModelCostsProfitsRevenueCopy,constructLinearModelMixtureCopy,constructLinearModelDistanceAndRateCopy,identifyModelPopulationLinearCopy,constructLinearModelDistanceAndRate,domainLinearModelCopy,identifyModelVariationCopy,identifyModelPopulationPower,identifyModelPopulationPowerCopy,constructJointModelCopy,constructDirectModelCopy,constructIndirectModel,identifyModelVariation,constructIndirectModelCopy,constructJointModel,constructDirectModel,constructTemperatureModelCopy,identifyModelGraph11,constructTemperatureModel,constructBacteriaGrowthCopy,identifyModelGraph11Copy,identifyModelPopulationLogExp,constructHalfLifeModel,identifyModelPopulationLogExpCopy,constructHalfLifeModelCopy,constructBacteriaGrowth,solveModelExpCopy,identifyModelGraph12Copy,solveModelPower,solveModelExp,identifyModelGraph12,constructModelMixed,solveModelPowerCopy,constructModelMixedCopy,solveModelLinear,solveModelLinearCopy,findInversePolyOrRadical,functionComposition,findInverseLogOrExpCopy,determine1to1Copy,determine1to1,functionCompositionCopy,findInversePolyOrRadicalCopy,findInverseLogOrExp,domainAfterOperating,domainAfterOperatingCopy,possibleRoots,factorUsingSynthetic2Integers,syntheticDivisionMissingTerms,factorUsingSynthetic2IntegersCopy,syntheticDivisionMissingTermsCopy,syntheticDivisionCopy,syntheticDivision,factorUsingSynthetic2RationalsCopy,factorUsingSynthetic2Rationals,possibleRootsCopy,oneSidedLimits,interpretLimit,oneSidedLimitsCopy,evaluateLimitAnalyticalHardCopy,evaluateLimitGraphically,evaluateLimitGraphicallyCopy,interpretLimitCopy,evaluateLimitAnalyticalHard,evaluateLimitAnalyticalEasyCopy,evaluateLimitAnalyticalEasy,identifyHolesCopy,identifyHoles,identifyHAsCopy,identifyVAs,identifyVAsCopy,identifyGraphOfRationalFunctionCopy,identifyOAs,identifyHAs,identifyOAsCopy,identifyGraphOfRationalFunction
A,E,A,B,D,B,A,E,E,A,A,A,A,A,A,C,C,B,D,B,B,B,A,B,D,A,C,A,A,B,B,B,A,A,C,B,C,D,B,C,B,D,D,A,C,B,C,B,A,A,E,B,A,A,C,D,A,D,E,A,B,C,D,A,D,A,A,A,B,E,D,A,C,D,E,E,D,E,E,B,A,D,E,E,A,E,C,B,B,C,A,D,A,C,A,C,B,D,B,A,D,E,A,B,E,A,C,B,D,B,E,D,C,D,A,C,A,C,E,B,D,C,D,C,B,B,A,E,A,C,D,A,B,B,D,E,D,C,E,E,D,A,D,D,E,D,D,B,E,A,C,C,B,B,E,D,A,D,A,B,A
B,C,C,D,B,B,C,E,A,C,B,B,B,A,B,C,D,A,B,B,B,C,C,E,D,B,A,E,D,D,B,D,C,D,B,D,B,D,C,A,D,D,B,A,C,D,D,E,D,B,E,C,A,C,C,C,A,B,E,A,B,B,E,C,A,A,A,B,B,D,D,A,B,B,D,C,A,C,E,C,D,B,E,A,A,E,B,D,D,B,C,D,B,C,A,A,A,D,D,A,B,E,C,E,E,D,A,A,C,D,E,B,C,C,C,E,D,D,C,B,C,A,A,B,A,D,C,A,A,C,C,D,C,E,A,A,B,A,E,C,C,A,A,D,B,D,B,B,E,A,C,E,C,A,E,E,C,E,A,E,A
C,D,D,A,E,B,D,E,A,B,A,B,C,C,C,D,C,D,C,D,B,D,A,D,A,E,A,C,C,C,A,B,C,C,B,A,C,D,D,D,C,D,B,A,E,D,C,E,C,E,E,D,D,B,C,D,C,B,E,E,A,A,D,E,D,D,A,A,D,C,E,B,C,A,E,E,C,A,B,C,D,C,E,C,A,E,A,D,C,B,A,D,B,D,B,C,D,D,D,C,A,A,D,A,E,C,D,A,D,D,E,C,A,B,B,C,E,D,C,B,C,E,A,E,B,D,B,A,C,C,E,C,A,C,A,D,A,A,E,A,D,A,C,A,E,B,A,C,E,A,C,E,E,E,C,D,A,B,D,B,C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
